"Term","WordNet Category","Synset Definition","Frequency","Synset Example"
"anglicize","change","make English in appearance","1"," ""She anglicised her name after moving from Paris to London"""
"angulate","change","make or become angular","1","make or become angular"
"animalise","change","make brutal, unfeeling, or inhuman","1"," ""Life in the camps had brutalized him"""
"animalize","change","make brutal, unfeeling, or inhuman","1"," ""Life in the camps had brutalized him"""
"animate","change","give lifelike qualities to","2"," ""animated cartoons"""
"animise","change","give lifelike qualities to","1"," ""animated cartoons"""
"animize","change","give lifelike qualities to","2"," ""animated cartoons"""
"anneal","change","bring to a desired consistency, texture, or hardness by a process of gradually heating and cooling","1"," ""temper glass"""
"annihilate","change","kill in large numbers","2"," ""the plague wiped out an entire population"""
"anodise","change","coat a metal with an oxide coat","1","coat a metal with an oxide coat"
"anodize","change","coat a metal with an oxide coat","1","coat a metal with an oxide coat"
"antedate","change","establish something as being earlier relative to something else","1","establish something as being earlier relative to something else"
"anticipate","change","be a forerunner of or occur earlier than","7"," ""This composition anticipates Impressionism"""
"antiquate","change","make obsolete or old-fashioned","1","make obsolete or old-fashioned"
"antique","change","give an antique appearance to","1"," ""antique furniture"""
"appear","change","come into sight or view","8"," ""He suddenly appeared at the wedding""; ""A new star appeared on the horizon"""
"appreciate","change","gain in value","4"," ""The yen appreciated again!"""
"apprise","change","gain in value","1"," ""The yen appreciated again!"""
"apprize","change","gain in value","1"," ""The yen appreciated again!"""
"arborise","change","branch out like trees","1"," ""nerve fibers arborize"""
"arborize","change","branch out like trees","1"," ""nerve fibers arborize"""
"archaise","change","give an archaic appearance of character to","1"," ""archaized craftwork"""
"archaize","change","give an archaic appearance of character to","2"," ""archaized craftwork"""
"arise","change","result or issue","6"," ""A slight unpleasantness arose from this discussion"""
"arterialise","change","change venous blood into arterial blood","1","change venous blood into arterial blood"
"arterialize","change","change venous blood into arterial blood","1","change venous blood into arterial blood"
"ash","change","convert into ashes","1","convert into ashes"
"ask_for_it","change","persist with actions or an attitude despite the probability that it will cause trouble","1"," ""He is asking for trouble with his behavior"""
"ask_for_trouble","change","persist with actions or an attitude despite the probability that it will cause trouble","1"," ""He is asking for trouble with his behavior"""
"asphyxiate","change","be asphyxiated","1"," die from lack of oxygen; ""The child suffocated under the pillow"""
"assibilate","change","change into a sibilant","1"," ""In the syllable /si/, the /s/ sibilates in Japanese"""
"assimilate","change","become similar to one's environment","4"," ""Immigrants often want to assimilate quickly"""
"assume","change","take on a certain form, attribute, or aspect","6"," ""His voice took on a sad tone""; ""The story took a new turn""; ""he adopted an air of superiority""; ""She assumed strange manners""; ""The gods assume human or animal form in these fables"""
"asterisk","change","mark with an asterisk","1"," ""Linguists star unacceptable sentences"""
"astringe","change","become constricted or compressed","1"," ""The cold substance astringes"""
"atomise","change","break up into small particles","1"," ""the fine powder had been atomized by air"""
"atomize","change","break up into small particles","1"," ""the fine powder had been atomized by air"""
"attack","change","set to work upon","6"," turn one's energies vigorously to a task; ""I attacked the problem as soon as I got out of bed"""
"attemper","change","modify the temperature of","1"," ""attemper the air"""
"attenuate","change","weaken the consistency of (a chemical substance)","1","weaken the consistency of (a chemical substance)"
"attune","change","adjust or accustom to","2"," bring into harmony with"
"augment","change","enlarge or increase","3"," ""The recent speech of the president augmented tensions in the Near East"""
"aurify","change","transform into gold","1","transform into gold"
"auspicate","change","commence in a manner calculated to bring good luck","1"," ""They auspicated the trip with a bottle of champagne"""
"automate","change","make automatic or control or operate automatically","2"," ""automatize the production""; ""automate the movement of the robot"""
"automatise","change","turn into an automaton","1","turn into an automaton"
"automatize","change","turn into an automaton","1","turn into an automaton"
"avianise","change","to modify microorganisms by repeated culture in the developing chick embryo","1","to modify microorganisms by repeated culture in the developing chick embryo"
"avianize","change","to modify microorganisms by repeated culture in the developing chick embryo","1","to modify microorganisms by repeated culture in the developing chick embryo"
"ax","change","terminate","1"," ""The NSF axed the research program and stopped funding it"""
"axe","change","terminate","1"," ""The NSF axed the research program and stopped funding it"""
"azure","change","color azure","1"," ""Morning azured the village"""
"back","change","shift to a counterclockwise direction","6"," ""the wind backed"""
"back_up","change","establish as valid or genuine","4"," ""Can you back up your claims?"""
"backfire","change","set a controlled fire to halt an advancing forest to prairie fire","1","set a controlled fire to halt an advancing forest to prairie fire"
"background","change","understate the importance or quality of","1"," ""he played down his royal ancestry"""
"backlog","change","accumulate and create a backlog","1","accumulate and create a backlog"
"backscatter","change","scatter (radiation) by the atoms of the medium through which it passes","1","scatter (radiation) by the atoms of the medium through which it passes"
"backslide","change","drop to a lower level, as in one's morals or standards","1","drop to a lower level, as in one's morals or standards"
"bacterise","change","subject to the action of bacteria","1","subject to the action of bacteria"
"bacterize","change","subject to the action of bacteria","1","subject to the action of bacteria"
"baffle","change","check the emission of (sound)","2","check the emission of (sound)"
"bail","change","empty (a vessel) by bailing","1","empty (a vessel) by bailing"
"bail_out","change","remove (water) from a boat by dipping and throwing over the side","1","remove (water) from a boat by dipping and throwing over the side"
"bake","change","cook and make edible by putting in a hot oven","4"," ""bake the potatoes"""
"bald","change","grow bald","1"," lose hair on one's head; ""He is balding already"""
"bale_out","change","remove (water) from a boat by dipping and throwing over the side","1","remove (water) from a boat by dipping and throwing over the side"
"ballast","change","make steady with a ballast","1","make steady with a ballast"
"balloon","change","become inflated","1"," ""The sails ballooned"""
"barbarise","change","become crude or savage or barbaric in behavior or language","1","become crude or savage or barbaric in behavior or language"
"barbarize","change","become crude or savage or barbaric in behavior or language","1","become crude or savage or barbaric in behavior or language"
"barbecue","change","cook outdoors on a barbecue grill","2"," ""let's barbecue that meat""; ""We cooked out in the forest"""
"barbeque","change","cook outdoors on a barbecue grill","1"," ""let's barbecue that meat""; ""We cooked out in the forest"""
"bare","change","lay bare","2"," ""denude a forest"""
"bark","change","tan (a skin) with bark tannins","2","tan (a skin) with bark tannins"
"basify","change","turn basic and less acidic","1"," ""the solution alkalized"""
"basset","change","appear at the surface","1"," ""A seam of coal bassets"""
"baste","change","cover with liquid before cooking","2"," ""baste a roast"""
"bate","change","soak in a special solution to soften and remove chemicals used in previous treatments","1"," ""bate hides and skins"""
"batik","change","dye with wax","1"," ""Indonesian fabrics are often batiked"""
"batter","change","make a dent or impression in","2"," ""dinge a soft hat"""
"be_born","change","come into existence through birth","2"," ""She was born on a farm"""
"be_on","change","appear in a show, on T.V. or radio","2"," ""The news won't be on tonight"""
"bear_on","change","have an effect upon","4"," ""Will the new rules affect me?"""
"bear_upon","change","have an effect upon","2"," ""Will the new rules affect me?"""
"beautify","change","make more beautiful","2","make more beautiful"
"becalm","change","make steady","1"," ""steady yourself"""
"bechance","change","become of","1"," happen to; ""He promised that no harm would befall her""; ""What has become of my children?"""
"become","change","enter or assume a certain state or condition","4"," ""He became annoyed when he heard the bad news""; ""It must be getting more serious""; ""her face went red with anger""; ""She went into ecstasy""; ""Get going!"""
"become_flat","change","lose sparkle or bouquet","1"," ""wine and beer can pall"""
"bedew","change","cover with drops of dew or as with dew","1","cover with drops of dew or as with dew"
"bedim","change","make darker and difficult to perceive by sight","1","make darker and difficult to perceive by sight"
"bedraggle","change","make wet and dirty, as from rain","1","make wet and dirty, as from rain"
"beef_up","change","make strong or stronger","2"," ""This exercise will strengthen your upper body""; ""strengthen the relations between the two countries"""
"befall","change","become of","2"," happen to; ""He promised that no harm would befall her""; ""What has become of my children?"""
"befoul","change","spot, stain, or pollute","1"," ""The townspeople defiled the river by emptying raw sewage into it"""
"begin","change","take the first step or steps in carrying out an action","5"," ""We began working at dawn""; ""Who will start?""; ""Get working as soon as the sun rises!""; ""The first tourists began to arrive in Cambodia""; ""He began early in the day""; ""Let's get down to work now"""
"belch","change","become active and spew forth lava and rocks","2"," ""Vesuvius erupts once in a while"""
"belittle","change","lessen the authority, dignity, or reputation of","1"," ""don't belittle your colleagues"""
"belly","change","swell out or bulge out","1","swell out or bulge out"
"belly_out","change","swell out or bulge out","1","swell out or bulge out"
"beneficiate","change","process (ores or other raw materials), as by reduction","1","process (ores or other raw materials), as by reduction"
"benficiate","change","subject to a reduction process","1"," ""benficiate ores"""
"benight","change","make darker and difficult to perceive by sight","1","make darker and difficult to perceive by sight"
"besprinkle","change","scatter with liquid","1"," wet lightly; ""Sprinkle the lawn"""
"bestialise","change","make brutal and depraved","1"," give animal-like qualities to"
"bestialize","change","make brutal and depraved","1"," give animal-like qualities to"
"bestir_oneself","change","start to be active","1"," ""Get cracking, please!"""
"betide","change","become of","1"," happen to; ""He promised that no harm would befall her""; ""What has become of my children?"""
"better","change","to make better","4"," ""The editor improved the manuscript with his changes"""
"bifurcate","change","divide into two branches","1"," ""The road bifurcated"""
"bilge","change","cause to leak","1"," ""the collision bilged the vessel"""
"billow","change","become inflated","2"," ""The sails ballooned"""
"bind","change","form a chemical bond with","7"," ""The hydrogen binds the oxygen"""
"biodegrade","change","break down naturally through the action of biological agents","1"," ""Plastic bottles do not biodegrade"""
"bituminise","change","treat with bitumen","1","treat with bitumen"
"bituminize","change","treat with bitumen","1","treat with bitumen"
"black","change","make or become black","1"," ""The smoke blackened the ceiling""; ""The ceiling blackened"""
"black_out","change","darken completely","5"," ""The dining room blackened out"""
"blacken","change","make or become black","2"," ""The smoke blackened the ceiling""; ""The ceiling blackened"""
"blacken_out","change","darken completely","1"," ""The dining room blackened out"""
"blackwash","change","color with blackwash","1","color with blackwash"
"blanch","change","cook (vegetables) briefly","2"," ""Parboil the beans before freezing them"""
"blank_out","change","cut out, as for political reasons","1"," ""several line in the report were blanked out"""
"blast","change","shatter as if by explosion","4","shatter as if by explosion"
"bleach","change","remove color from","2"," ""The sun bleached the red shirt"""
"bleach_out","change","remove color from","1"," ""The sun bleached the red shirt"""
"blear","change","make dim or indistinct","1"," ""The fog blurs my vision"""
"bleed","change","drain of liquid or steam","3"," ""bleed the radiators""; ""the mechanic bled the engine"""
"blemish","change","add a flaw or blemish to","1"," make imperfect or defective"
"blend","change","mix together different elements","3"," ""The colors blend well"""
"blend_in","change","cause (something) to be mixed with (something else)","1"," ""At this stage of making the cake, blend in the nuts"""
"blind","change","make dim by comparison or conceal","3","make dim by comparison or conceal"
"blister","change","get blistered","2"," ""Her feet blistered during the long hike"""
"bloat","change","become bloated or swollen or puff up","2"," ""The dead man's stomach was bloated"""
"block","change","shape by using a block","5"," ""Block a hat""; ""block a garment"""
"bloody","change","cover with blood","1"," ""bloody your hands"""
"bloom","change","produce or yield flowers","2"," ""The cherry tree bloomed"""
"blossom","change","produce or yield flowers","3"," ""The cherry tree bloomed"""
"blossom_forth","change","develop or come to a promising stage","1"," ""Youth blossomed into maturity"""
"blossom_out","change","develop or come to a promising stage","1"," ""Youth blossomed into maturity"""
"blot_out","change","make undecipherable or imperceptible by obscuring or concealing","2"," ""a hidden message""; ""a veiled threat"""
"blow","change","shape by blowing","7"," ""Blow a glass vase"""
"blow-dry","change","dry hair with a hair dryer","1","dry hair with a hair dryer"
"blow_out","change","melt, break, or become otherwise unusable","2"," ""The lightbulbs blew out""; ""The fuse blew"""
"blow_over","change","disappear gradually","1"," ""The pain eventually passed off"""
"blow_up","change","cause to burst with a violent release of energy","3"," ""We exploded the nuclear bomb"""
"blue","change","turn blue","1","turn blue"
"blue-pencil","change","cut or eliminate","1"," ""she edited the juiciest scenes"""
"blunt","change","make less intense","2"," ""blunted emotions"""
"blur","change","make dim or indistinct","4"," ""The fog blurs my vision"""
"blush","change","become rosy or reddish","2"," ""her cheeks blushed in the cold winter air"""
"bog","change","cause to slow down or get stuck","2"," ""The vote would bog down the house"""
"bog_down","change","get stuck while doing something","2"," ""She bogged down many times while she wrote her dissertation"""
"boil","change","come to the boiling point and change from a liquid to vapor","4"," ""Water boils at 100 degrees Celsius"""
"boil_down","change","be the essential element","2"," ""The proposal boils down to a compromise"""
"boil_over","change","overflow or cause to overflow while boiling","1"," ""The milk is boiling over"""
"bolshevise","change","make Communist or bring in accord with Communist principles","1"," ""communize the government"""
"bolshevize","change","make Communist or bring in accord with Communist principles","1"," ""communize the government"""
"bolster","change","support and strengthen","2"," ""bolster morale"""
"bolster_up","change","support and strengthen","1"," ""bolster morale"""
"bolt","change","make or roll into bolts","4"," ""bolt fabric"""
"bombard","change","direct high energy particles or radiation against","1","direct high energy particles or radiation against"
"bombproof","change","make safe against bombings","1","make safe against bombings"
"bone","change","remove the bones from","1"," ""bone the turkey before roasting it"""
"boom","change","grow vigorously","3"," ""The deer population in this town is thriving""; ""business is booming"""
"boost","change","give a boost to","5"," be beneficial to; ""The tax cut will boost the economy"""
"bottleneck","change","become narrow, like a bottleneck","1"," ""Right by the bridge, the road bottlenecks"""
"bounce_back","change","improve in health","2"," ""He got well fast"""
"bound","change","place limits on (extent or access)","5"," ""restrict the use of this parking lot""; ""limit the time you can spend with your friends"""
"bourgeon","change","produce buds, branches, or germinate","1"," ""the potatoes sprouted"""
"bowdlerise","change","edit by omitting or modifying parts considered indelicate","1"," ""bowdlerize a novel"""
"bowdlerize","change","edit by omitting or modifying parts considered indelicate","1"," ""bowdlerize a novel"""
"brace_oneself_for","change","prepare mentally or emotionally for something unpleasant","1","prepare mentally or emotionally for something unpleasant"
"brace_up","change","make secure underneath","1"," ""undergird the ship"""
"braise","change","cook in liquid","1"," ""braise beef"""
"branch","change","grow and send out branches or branch-like structures","1"," ""these plants ramify early and get to be very large"""
"branch_out","change","vary in order to spread risk or to expand","2"," ""The company diversified"""
"bray","change","reduce to small pieces or particles by pounding or abrading","1"," ""grind the spices in a mortar""; ""mash the garlic"""
"break","change","terminate","23"," ""She interrupted her pregnancy""; ""break a lucky streak""; ""break the cycle of poverty"""
"break_apart","change","break up or separate","1"," ""The country is disunifying""; ""Yugoslavia broke apart after 1989"""
"break_down","change","stop operating or functioning","6"," ""The engine finally went""; ""The car died on the road""; ""The bus we travelled in broke down on the way to town""; ""The coffee maker broke""; ""The engine failed on the way to town""; ""her eyesight went after the accident"""
"break_in","change","start in a certain activity, enterprise, or role","4","start in a certain activity, enterprise, or role"
"break_into","change","change pace","3"," ""The dancers broke into a cha-cha""; ""The horse broke into a gallop"""
"break_loose","change","be unleashed","3"," emerge with violence or noise; ""His anger exploded"""
"break_off","change","interrupt before its natural or planned end","4"," ""We had to cut short our vacation"""
"break_open","change","come open suddenly and violently, as if from internal pressure","2"," ""The bubble burst"""
"break_out","change","start abruptly","6"," ""After 1989, peace broke out in the former East Bloc"""
"break_short","change","interrupt before its natural or planned end","1"," ""We had to cut short our vacation"""
"break_through","change","pass through (a barrier)","3"," ""Registrations cracked through the 30,000 mark in the county"""
"break_up","change","cause to go into a solution","7"," ""The recipe says that we should dissolve a cup of sugar in two cups of water"""
"breathe","change","reach full flavor by absorbing air and being let to stand after having been uncorked","4"," ""This rare Bordeaux must be allowed to breathe for at least 2 hours"""
"brecciate","change","break into breccia","1"," ""brecciate rock"""
"brew","change","sit or let sit in boiling water so as to extract the flavor","1"," ""the tea is brewing"""
"brighten","change","make lighter or brighter","2"," ""The paint will brighten the room"""
"brim","change","fill as much as possible","1"," ""brim a cup to good fellowship"""
"brine","change","soak in brine","1","soak in brine"
"bring","change","bring into a different state","10"," ""this may land you in jail"""
"bring_down","change","cut down on","4"," make a reduction in; ""reduce your daily fat intake""; ""The employer wants to cut back health benefits"""
"bring_home","change","make understandable and clear","2"," ""This brings home my point"""
"bring_out","change","direct attention to, as if by means of contrast","5"," ""This dress accentuates your nice figure!""; ""I set off these words by brackets"""
"brisk","change","become brisk","1"," ""business brisked up"""
"brisk_up","change","become brisk","1"," ""business brisked up"""
"brisken","change","become brisk","1"," ""business brisked up"""
"broaden","change","make broader","5"," ""broaden the road"""
"broil","change","cook under a broiler","3"," ""broil fish"""
"bromate","change","react with bromine","1","react with bromine"
"brominate","change","react with bromine","1","react with bromine"
"bronze","change","give the color and appearance of bronze to something","1"," ""bronze baby shoes"""
"brown","change","fry in a pan until it changes color","2"," ""brown the meat in the pan"""
"bruise","change","break up into small pieces for food preparation","2"," ""bruise the berries with a wooden spoon and strain them"""
"brush","change","remove with or as if with a brush","6"," ""brush away the crumbs""; ""brush the dust from the jacket""; ""brush aside the objections"""
"brush_up","change","bring to a highly developed, finished, or refined state","2"," ""polish your social manners"""
"brutalise","change","make brutal, unfeeling, or inhuman","1"," ""Life in the camps had brutalized him"""
"brutalize","change","make brutal, unfeeling, or inhuman","1"," ""Life in the camps had brutalized him"""
"bubble","change","form, produce, or emit bubbles","2"," ""The soup was bubbling"""
"buckle","change","bend out of shape, as under pressure or from heat","4"," ""The highway buckled during the heat wave"""
"buckram","change","stiffen with or as with buckram","1"," ""buckram the skirt"""
"bud","change","develop buds","3"," ""The hibiscus is budding!"""
"buffer","change","add a buffer (a solution)","2"," ""buffered saline solution for the eyes"""
"build","change","form or accumulate steadily","5"," ""Resistance to the manager's plan built up quickly""; ""Pressure is building up at the Indian-Pakistani border"""
"build_in","change","make something an integral part of something else","1"," ""we can build in a special clause to make the contract better for you"""
"build_up","change","enlarge, develop, or increase by degrees or in stages","4"," ""build up your savings"""
"bulge","change","swell or protrude outwards","2"," ""His stomach bulged after the huge meal"""
"bulk","change","stick out or up","2"," ""The parcel bulked in the sack"""
"bull","change","advance in price","2"," ""stocks were bulling"""
"bulletproof","change","make bulletproof","1"," ""bulletproof the car"""
"bump_up","change","increase or raise","1"," ""OPEC bumped up the price of oil"""
"bur","change","remove the burrs from","1","remove the burrs from"
"burgeon","change","grow and flourish","2"," ""The burgeoning administration""; ""The burgeoning population"""
"burgeon_forth","change","produce buds, branches, or germinate","1"," ""the potatoes sprouted"""
"burke","change","get rid of, silence, or suppress","1"," ""burke an issue"""
"burl","change","remove the burls from cloth","1","remove the burls from cloth"
"burn","change","destroy by fire","13"," ""They burned the house and his diaries"""
"burn_down","change","burn completely","3"," be consumed or destroyed by fire; ""The hut burned down""; ""The mountain of paper went up in flames"""
"burn_off","change","clear land of its vegetation by burning it off","3","clear land of its vegetation by burning it off"
"burn_out","change","melt, break, or become otherwise unusable","1"," ""The lightbulbs blew out""; ""The fuse blew"""
"burn_up","change","burn completely","2"," be consumed or destroyed by fire; ""The hut burned down""; ""The mountain of paper went up in flames"""
"burr","change","remove the burrs from","1","remove the burrs from"
"burst","change","come open suddenly and violently, as if from internal pressure","7"," ""The bubble burst"""
"burst_forth","change","be unleashed","1"," emerge with violence or noise; ""His anger exploded"""
"burst_out","change","appear suddenly","3"," ""Spring popped up everywhere in the valley"""
"bus","change","remove used dishes from the table in restaurants","1","remove used dishes from the table in restaurants"
"bushel","change","restore by replacing a part or putting together what is torn or broken","1"," ""She repaired her TV set""; ""Repair my shoes please"""
"bust","change","break open or apart suddenly and forcefully","2"," ""The dam burst"""
"buttress","change","reinforce with a buttress","1"," ""Buttress the church"""
"butylate","change","introduce the butyl group into a chemical compound","1","introduce the butyl group into a chemical compound"
"buy_it","change","be killed or die","2",""
"buy_the_farm","change","pass from physical life and lose all bodily attributes and functions necessary to sustain life","1"," ""She died from cancer""; ""The children perished in the fire""; ""The patient went peacefully""; ""The old guy kicked the bucket at the age of 102"""
"buy_time","change","act so as to delay an event or action in order to gain an advantage","2","act so as to delay an event or action in order to gain an advantage"
"calcify","change","become impregnated with calcium salts","2","become impregnated with calcium salts"
"calcine","change","heat a substance so that it oxidizes or reduces","1","heat a substance so that it oxidizes or reduces"
"calibrate","change","make fine adjustments or divide into marked intervals for optimal measuring","2"," ""calibrate an instrument""; ""graduate a cylinder"""
"callous","change","make insensitive or callous","1"," deaden feelings or morals"
"callus","change","cause a callus to form on","1"," ""The long march had callused his feet"""
"calm","change","make steady","3"," ""steady yourself"""
"calm_down","change","become quiet or less intensive","2"," ""the fighting lulled for a moment"""
"camp","change","give an artificially banal or sexual quality to","2","give an artificially banal or sexual quality to"
"camphorate","change","treat with camphor","1","treat with camphor"
"can","change","preserve in a can or tin","3"," ""tinned foods are not very tasty"""
"cancel_out","change","wipe out the effect of something","2"," ""The new tax effectively cancels out my raise""; ""The `A' will cancel out the `C' on your record"""
"cap","change","restrict the number or amount of","2"," ""We had to cap the number of people we can accept into our club"""
"cap_off","change","finish or complete, as with some decisive action","1"," ""he capped off the meeting with a radical proposal"""
"capacitate","change","cause (spermatozoa) to undergo the physical changes necessary to fertilize an egg","1","cause (spermatozoa) to undergo the physical changes necessary to fertilize an egg"
"capitalise","change","convert (a company's reserve funds) into capital","1","convert (a company's reserve funds) into capital"
"capitalize","change","convert (a company's reserve funds) into capital","2","convert (a company's reserve funds) into capital"
"capsule","change","put in a short or concise form","1"," reduce in volume; ""capsulize the news"""
"capsulise","change","put in a short or concise form","1"," reduce in volume; ""capsulize the news"""
"capsulize","change","put in a short or concise form","1"," reduce in volume; ""capsulize the news"""
"caramelise","change","be converted into caramel","1"," ""The sugar caramelized"""
"caramelize","change","be converted into caramel","1"," ""The sugar caramelized"""
"carbonate","change","treat with carbon dioxide","1"," ""Carbonated soft drinks"""
"carbonise","change","unite with carbon","1"," ""carburize metal"""
"carbonize","change","unite with carbon","1"," ""carburize metal"""
