"Term","WordNet Category","Synset Definition","Frequency","Synset Example"
"abdominoplasty","act","cosmetic surgery of the abdomen to remove wrinkles and tighten the skin over the stomach","1","cosmetic surgery of the abdomen to remove wrinkles and tighten the skin over the stomach"
"abduction","act","the criminal act of capturing and carrying away by force a family member","1"," if a man's wife is abducted it is a crime against the family relationship and against the wife"
"abidance","act","acting according to certain accepted standards","1"," ""their financial statements are in conformity with generally accepted accounting practices"""
"ablactation","act","the act of substituting other food for the mother's milk in the diet of a child or young mammal","1","the act of substituting other food for the mother's milk in the diet of a child or young mammal"
"ablation","act","surgical removal of a body part or tissue","2","surgical removal of a body part or tissue"
"able-bodiedism","act","discrimination in favor of the able-bodied","1","discrimination in favor of the able-bodied"
"able-bodism","act","discrimination in favor of the able-bodied","1","discrimination in favor of the able-bodied"
"ableism","act","discrimination in favor of the able-bodied","1","discrimination in favor of the able-bodied"
"ablism","act","discrimination in favor of the able-bodied","1","discrimination in favor of the able-bodied"
"ablution","act","the ritual washing of a priest's hands or of sacred vessels","1","the ritual washing of a priest's hands or of sacred vessels"
"abnegation","act","renunciation of your own interests in favor of the interests of others","1","renunciation of your own interests in favor of the interests of others"
"abnormality","act","behavior that breaches the rule or etiquette or custom or morality","2","behavior that breaches the rule or etiquette or custom or morality"
"abolishment","act","the act of abolishing a system or practice or institution (especially abolishing slavery)","1"," ""the abolition of capital punishment"""
"abolition","act","the act of abolishing a system or practice or institution (especially abolishing slavery)","2"," ""the abolition of capital punishment"""
"abomination","act","an action that is vicious or vile","1"," an action that arouses disgust or abhorrence; ""his treatment of the children is an abomination"""
"abort","act","the act of terminating a project or procedure before it is completed","1"," ""I wasted a year of my life working on an abort""; ""he sent a short message requesting an abort due to extreme winds in the area"""
"aborticide","act","the act of destroying a fetus","1","the act of destroying a fetus"
"abortion","act","termination of pregnancy","2","termination of pregnancy"
"about-face","act","act of pivoting 180 degrees, especially in a military formation","1","act of pivoting 180 degrees, especially in a military formation"
"about_turn","act","act of pivoting 180 degrees, especially in a military formation","1","act of pivoting 180 degrees, especially in a military formation"
"abreaction","act","(psychoanalysis) purging of emotional tensions","2","(psychoanalysis) purging of emotional tensions"
"abrogation","act","the act of abrogating","1"," an official or legal cancellation"
"abruption","act","an instance of sudden interruption","1","an instance of sudden interruption"
"abscission","act","the act of cutting something off","1","the act of cutting something off"
"abscondment","act","the act of running away secretly (as to avoid arrest)","1","the act of running away secretly (as to avoid arrest)"
"abseil","act","(mountaineering) a descent of a vertical cliff or wall made by using a doubled rope that is fixed to a higher point and wrapped around the body","1","(mountaineering) a descent of a vertical cliff or wall made by using a doubled rope that is fixed to a higher point and wrapped around the body"
"absence","act","failure to be present","3","failure to be present"
"absence_without_leave","act","unauthorized military absence","1","unauthorized military absence"
"absenteeism","act","habitual absence from work","2","habitual absence from work"
"absolution","act","the act of absolving or remitting","1"," formal redemption as pronounced by a priest in the sacrament of penance"
"abstinence","act","act or practice of refraining from indulging an appetite","1","act or practice of refraining from indulging an appetite"
"abstraction","act","the act of withdrawing or removing something","5","the act of withdrawing or removing something"
"abuse","act","cruel or inhumane treatment","2"," ""the child showed signs of physical abuse"""
"academicianship","act","the position of member of an honorary academy","2","the position of member of an honorary academy"
"acceleration","act","the act of accelerating","4"," increasing the speed"
"accenting","act","the act of giving special importance or significance to something","2","the act of giving special importance or significance to something"
"accentuation","act","the act of giving special importance or significance to something","1","the act of giving special importance or significance to something"
"acceptance","act","the act of accepting with approval","5"," favorable reception; ""its adoption by society""; ""the proposal found wide acceptance"""
"acceptance_sampling","act","a statistical procedure for accepting or rejecting a batch of merchandise or documents","1"," involves determining the maximum number of defects discovered in a sample before the entire batch is rejected"
"acceptation","act","the act of accepting with approval","1"," favorable reception; ""its adoption by society""; ""the proposal found wide acceptance"""
"access","act","the act of approaching or entering","4"," ""he gained access to the building"""
"accession","act","the act of attaining or gaining access to a new office or right or position (especially the throne)","1"," ""Elizabeth's accession in 1558"""
"accommodation","act","the act of providing something (lodging or seat or food) to meet a need","1","the act of providing something (lodging or seat or food) to meet a need"
"accommodation_reflex","act","reflex changes in the eyes that enable an object to be focused on the retina","1","reflex changes in the eyes that enable an object to be focused on the retina"
"accompaniment","act","the act of accompanying someone or something in order to protect them","3","the act of accompanying someone or something in order to protect them"
"accomplished_fact","act","an irreversible accomplishment","1","an irreversible accomplishment"
"accomplishment","act","the action of accomplishing something","2","the action of accomplishing something"
"accordance","act","the act of granting rights","2"," ""the accordance to Canada of rights of access"""
"accordance_of_rights","act","the act of granting rights","1"," ""the accordance to Canada of rights of access"""
"accountancy","act","the occupation of maintaining and auditing records and preparing financial reports for a business","1","the occupation of maintaining and auditing records and preparing financial reports for a business"
"accountantship","act","the position of accountant","1","the position of accountant"
"accounting","act","the occupation of maintaining and auditing records and preparing financial reports for a business","4","the occupation of maintaining and auditing records and preparing financial reports for a business"
"accreditation","act","the act of granting credit or recognition (especially with respect to educational institution that maintains suitable standards)","2"," ""a commission is responsible for the accreditation of medical schools"""
"accrual","act","the act of accumulating","1","the act of accumulating"
"accruement","act","the act of accumulating","1","the act of accumulating"
"acculturation","act","the adoption of the behavior patterns of the surrounding culture","2"," ""the socialization of children to the norms of their culture"""
"accumulation","act","the act of accumulating","4","the act of accumulating"
"ace","act","a serve that the receiver is unable to reach","4","a serve that the receiver is unable to reach"
"acedia","act","apathy and inactivity in the practice of virtue (personified as one of the deadly sins)","1","apathy and inactivity in the practice of virtue (personified as one of the deadly sins)"
"achievement","act","the action of accomplishing something","2","the action of accomplishing something"
"acidimetry","act","volumetric analysis using standard solutions of acids to measure the amount of a base present","1","volumetric analysis using standard solutions of acids to measure the amount of a base present"
"acquired_reflex","act","an acquired response that is under the control of (conditional on the occurrence of) a stimulus","1","an acquired response that is under the control of (conditional on the occurrence of) a stimulus"
"acquiring","act","the act of acquiring something","1"," ""I envied his talent for acquiring""; ""he's much more interested in the getting than in the giving"""
"acquisition","act","the act of contracting or assuming or acquiring possession of something","2"," ""the acquisition of wealth""; ""the acquisition of one company by another"""
"acquittal","act","a judgment of not guilty","1","a judgment of not guilty"
"acrobatic_feat","act","a stunt performed by an acrobat","1","a stunt performed by an acrobat"
"acrobatic_stunt","act","a stunt performed by an acrobat","1","a stunt performed by an acrobat"
"acrobatics","act","the gymnastic moves of an acrobat","2","the gymnastic moves of an acrobat"
"act_of_terrorism","act","the calculated use of violence (or the threat of violence) against civilians in order to attain goals that are political or religious or ideological in nature","1"," this is done through intimidation or coercion or instilling fear"
"acting","act","the performance of a part or role in a drama","2","the performance of a part or role in a drama"
"actinometry","act","measuring the intensity of electromagnetic radiation (especially of the sun's rays)","1","measuring the intensity of electromagnetic radiation (especially of the sun's rays)"
"actinotherapy","act","(medicine) the treatment of disease (especially cancer) by exposure to a radioactive substance","1","(medicine) the treatment of disease (especially cancer) by exposure to a radioactive substance"
"action","act","something done (usually as opposed to something said)","9"," ""there were stories of murders and other unnatural actions"""
"action_at_law","act","a judicial proceeding brought by one party against another","1"," one party prosecutes another for a wrong done or for protection of a right or for prevention of a wrong"
"action_replay","act","the immediate rebroadcast of some action (especially sports action) that has been recorded on videotape","1","the immediate rebroadcast of some action (especially sports action) that has been recorded on videotape"
"Actium","act","the naval battle in which Antony and Cleopatra were defeated by Octavian's fleet under Agrippa in 31 BC","1","the naval battle in which Antony and Cleopatra were defeated by Octavian's fleet under Agrippa in 31 BC"
"activating","act","the activity of causing to have energy and be active","1","the activity of causing to have energy and be active"
"activation","act","the activity of causing to have energy and be active","1","the activity of causing to have energy and be active"
"active_air_defense","act","air defense by the use aircraft or missiles or artillery or electronic countermeasures","1","air defense by the use aircraft or missiles or artillery or electronic countermeasures"
"activity","act","any specific behavior","4"," ""they avoided all recreational activity"""
"actual_eviction","act","the physical ouster of a tenant from the leased premises","1"," the tenant is relieved of any further duty to pay rent"
"actual_possession","act","(law) immediate and direct physical control over property","1","(law) immediate and direct physical control over property"
"actual_sin","act","a sin committed of your own free will (as contrasted with original sin)","1","a sin committed of your own free will (as contrasted with original sin)"
"actualisation","act","making real or giving the appearance of reality","1","making real or giving the appearance of reality"
"actualization","act","making real or giving the appearance of reality","1","making real or giving the appearance of reality"
"actuation","act","the act of propelling","1","the act of propelling"
"actus_reus","act","activity that transgresses moral or civil law","1"," ""he denied any wrongdoing"""
"acupressure","act","treatment of symptoms by applying pressure with the fingers to specific pressure points on the body","1","treatment of symptoms by applying pressure with the fingers to specific pressure points on the body"
"acupuncture","act","treatment of pain or disease by inserting the tips of needles at specific points on the skin","1","treatment of pain or disease by inserting the tips of needles at specific points on the skin"
"ad_blitz","act","an organized program of advertisements","1","an organized program of advertisements"
"ad_campaign","act","an organized program of advertisements","2","an organized program of advertisements"
"adagio","act","a slow section of a pas de deux requiring great skill and strength by the dancers","1","a slow section of a pas de deux requiring great skill and strength by the dancers"
"adaptation","act","(physiology) the responsive adjustment of a sense organ (as the eye) to varying conditions (as of light)","2","(physiology) the responsive adjustment of a sense organ (as the eye) to varying conditions (as of light)"
"addiction","act","(Roman law) a formal award by a magistrate of a thing or person to another person (as the award of a debtor to his creditor)","1"," a surrender to a master; ""under Roman law addiction was the justification for slavery"""
"addition","act","the act of adding one thing to another","4"," ""the addition of flowers created a pleasing effect""; ""the addition of a leap day every four years"""
"adduction","act","(physiology) moving of a body part toward the central axis of the body","1","(physiology) moving of a body part toward the central axis of the body"
"adenoidectomy","act","surgical removal of the adenoids","1"," commonly performed along with tonsillectomy"
"adherence","act","faithful support for a cause or political party or religion","2"," ""attachment to a formal agenda""; ""adherence to a fat-free diet""; ""the adhesion of Seville was decisive"""
"adhesion","act","faithful support for a cause or political party or religion","1"," ""attachment to a formal agenda""; ""adherence to a fat-free diet""; ""the adhesion of Seville was decisive"""
"adjournment","act","the termination of a meeting","2","the termination of a meeting"
"adjudication","act","the final judgment in a legal proceeding","2"," the act of pronouncing judgment based on the evidence presented"
"adjunction","act","an act of joining or adjoining things","1","an act of joining or adjoining things"
"adjustment","act","the act of making something different (as e.g. the size of a garment)","4","the act of making something different (as e.g. the size of a garment)"
"administration","act","a method of tending to or managing the affairs of a some group of people (especially the group's business affairs)","5","a method of tending to or managing the affairs of a some group of people (especially the group's business affairs)"
"administrative_hearing","act","a hearing that takes place outside the judicial process before hearing examiners who have been granted judicial authority specifically for the purpose of conducting such hearings","1","a hearing that takes place outside the judicial process before hearing examiners who have been granted judicial authority specifically for the purpose of conducting such hearings"
"administrivia","act","the tiresome but essential details that must be taken care of and tasks that must be performed in running an organization","1"," ""he sets policy and leaves all the administrivia to his assistant"""
"admiralty","act","the office of admiral","1","the office of admiral"
"admiration","act","a favorable judgment","3"," ""a small token in admiration of your works"""
"admission","act","the act of admitting someone to enter","3"," ""the surgery was performed on his second admission to the clinic"""
"admittance","act","the act of admitting someone to enter","1"," ""the surgery was performed on his second admission to the clinic"""
"admixture","act","the act of mixing together","1"," ""paste made by a mix of flour and water""; ""the mixing of sound channels in the recording studio"""
"ado","act","a rapid active commotion","2","a rapid active commotion"
"adoption","act","the act of accepting with approval","2"," favorable reception; ""its adoption by society""; ""the proposal found wide acceptance"""
"adoration","act","the act of admiring strongly","1","the act of admiring strongly"
"adornment","act","the action of decorating yourself with something colorful and interesting","1","the action of decorating yourself with something colorful and interesting"
"adoxography","act","fine writing in praise of trivial or base subjects","1"," ""Elizabethan schoolboys were taught adoxography, the art of eruditely praising worthless things""; ""adoxography is particularly useful to lawyers"""
"adrenalectomy","act","surgical removal of one or both adrenal glands","1","surgical removal of one or both adrenal glands"
"adrenergic_agonist_eyedrop","act","a treatment for glaucoma","1"," the eyedrops reduce intraocular pressure by decreasing the production of aqueous humor and increasing its drainage through the uveoscleral pathway"
"adult_education","act","a course (via lectures or correspondence) for adults who are not otherwise engaged in formal study","2","a course (via lectures or correspondence) for adults who are not otherwise engaged in formal study"
"adulteration","act","the act of adulterating (especially the illicit substitution of one substance for another)","1","the act of adulterating (especially the illicit substitution of one substance for another)"
"adultery","act","extramarital sex that willfully and maliciously interferes with marriage relations","1"," ""adultery is often cited as grounds for divorce"""
"advance","act","the act of moving forward (as toward a goal)","5","the act of moving forward (as toward a goal)"
"advancement","act","the act of moving forward (as toward a goal)","1","the act of moving forward (as toward a goal)"
"advent","act","arrival that has been awaited (especially of something momentous)","2"," ""the advent of the computer"""
"adventure","act","a wild and exciting undertaking (not necessarily lawful)","2","a wild and exciting undertaking (not necessarily lawful)"
"advertising","act","the business of drawing public attention to goods and services","3","the business of drawing public attention to goods and services"
"advertising_campaign","act","an organized program of advertisements","2","an organized program of advertisements"
"advisory_service","act","a consulting service in which a CPA develops findings and conclusions and recommendations that are presented to the client for consideration and decision making","1","a consulting service in which a CPA develops findings and conclusions and recommendations that are presented to the client for consideration and decision making"
"advocacy","act","active support of an idea or cause etc.","2"," especially the act of pleading or arguing for something"
"Aegadean_Isles","act","islands west of Sicily (now known as the Egadi Islands) where the Romans won a naval victory over the Carthaginians that ended the first Punic War in 241 BC","1","islands west of Sicily (now known as the Egadi Islands) where the Romans won a naval victory over the Carthaginians that ended the first Punic War in 241 BC"
"Aegates_Isles","act","islands west of Sicily (now known as the Egadi Islands) where the Romans won a naval victory over the Carthaginians that ended the first Punic War in 241 BC","1","islands west of Sicily (now known as the Egadi Islands) where the Romans won a naval victory over the Carthaginians that ended the first Punic War in 241 BC"
"aegis","act","kindly endorsement and guidance","2"," ""the tournament was held under the auspices of the city council"""
"Aegospotami","act","a river in ancient Thrace (now Turkey)","1"," in the mouth of this river the Spartan fleet under Lysander destroyed the Athenian fleet in the final battle of the Peloponnesian War (404 BC)"
"Aegospotamos","act","a river in ancient Thrace (now Turkey)","1"," in the mouth of this river the Spartan fleet under Lysander destroyed the Athenian fleet in the final battle of the Peloponnesian War (404 BC)"
"aeration","act","the act of charging a liquid with a gas making it effervescent","2","the act of charging a liquid with a gas making it effervescent"
"aerial","act","a pass to a receiver downfield from the passer","2","a pass to a receiver downfield from the passer"
"aerobatics","act","the performance of stunts while in flight in an aircraft","1","the performance of stunts while in flight in an aircraft"
"aerobic_exercise","act","exercise that increases the need for oxygen","1","exercise that increases the need for oxygen"
"aerobics","act","exercise that increases the need for oxygen","1","exercise that increases the need for oxygen"
"aeronautical_engineering","act","the activity of designing and constructing aircraft","1","the activity of designing and constructing aircraft"
"aerophagia","act","swallowing air (usually followed by belching and discomfort and flatulence)","1","swallowing air (usually followed by belching and discomfort and flatulence)"
"aerophilately","act","the collection and study of airmail stamps","1","the collection and study of airmail stamps"
"affaire_d'honneur","act","a prearranged fight with deadly weapons by two people (accompanied by seconds) in order to settle a quarrel over a point of honor","1","a prearranged fight with deadly weapons by two people (accompanied by seconds) in order to settle a quarrel over a point of honor"
"affairs","act","transactions of professional or public interest","3"," ""news of current affairs""; ""great affairs of state"""
"affectation","act","a deliberate pretense or exaggerated display","1","a deliberate pretense or exaggerated display"
"affectedness","act","a deliberate pretense or exaggerated display","1","a deliberate pretense or exaggerated display"
"affiliation","act","the act of becoming formally connected or joined","3"," ""welcomed the affiliation of the research center with the university"""
"affirmation","act","a judgment by a higher court that the judgment of a lower court was correct and should stand","2","a judgment by a higher court that the judgment of a lower court was correct and should stand"
"affixation","act","formation of a word by means of an affix","1","formation of a word by means of an affix"
"afforestation","act","the conversion of bare or cultivated land into forest (originally for the purpose of hunting)","1","the conversion of bare or cultivated land into forest (originally for the purpose of hunting)"
"affray","act","a noisy fight","1","a noisy fight"
"affront","act","a deliberately offensive act or something producing the effect of deliberate disrespect","2"," ""turning his back on me was a deliberate insult"""
"affusion","act","the act of baptizing someone by pouring water on their head","1","the act of baptizing someone by pouring water on their head"
"aftercare","act","care and treatment of a convalescent patient","1","care and treatment of a convalescent patient"
"agape","act","a religious meal shared as a sign of love and fellowship","1","a religious meal shared as a sign of love and fellowship"
"ageism","act","discrimination against middle-aged and elderly people","1","discrimination against middle-aged and elderly people"
"agency","act","how a result is obtained or an end is achieved","4"," ""a means of control""; ""an example is the best agency of instruction""; ""the true way to success"""
"agglomeration","act","the act of collecting in a mass","2"," the act of agglomerating"
"aggrandisement","act","the act of increasing the wealth or prestige or power or scope of something","1"," ""the aggrandizement of the king""; ""his elevation to cardinal"""
"aggrandizement","act","the act of increasing the wealth or prestige or power or scope of something","1"," ""the aggrandizement of the king""; ""his elevation to cardinal"""
"aggravated_assault","act","a reckless attack with intent to injure seriously (as with a deadly weapon)","1","a reckless attack with intent to injure seriously (as with a deadly weapon)"
"aggravation","act","unfriendly behavior that causes anger or resentment","1","unfriendly behavior that causes anger or resentment"
"aggregation","act","the act of gathering something together","2","the act of gathering something together"
"aggression","act","violent action that is hostile and usually unprovoked","4","violent action that is hostile and usually unprovoked"
"aggro","act","(informal British usage) aggravation or aggression","1"," ""I skipped it because it was too much aggro"""
"Agincourt","act","a battle in northern France in which English longbowmen under Henry V decisively defeated a much larger French army in 1415","1","a battle in northern France in which English longbowmen under Henry V decisively defeated a much larger French army in 1415"
"agism","act","discrimination against middle-aged and elderly people","1","discrimination against middle-aged and elderly people"
"agitation","act","disturbance usually in protest","2","disturbance usually in protest"
"agon","act","a festivity in ancient Greece at which competitors contended for prizes","1","a festivity in ancient Greece at which competitors contended for prizes"
"agribusiness","act","a large-scale farming enterprise","1","a large-scale farming enterprise"
"agriculture","act","a large-scale farming enterprise","3","a large-scale farming enterprise"
"Agriculture_Secretary","act","the position of the head of the Department of Agriculture","1"," ""the post of Secretary of Agriculture was established in 1889"""
"agrypnia","act","a vigil before certain feasts (as e.g. Easter)","1","a vigil before certain feasts (as e.g. Easter)"
"AI","act","the introduction of semen into the oviduct or uterus by some means other than sexual intercourse","1","the introduction of semen into the oviduct or uterus by some means other than sexual intercourse"
"aid","act","the activity of contributing to the fulfillment of a need or furtherance of an effort or purpose","4"," ""he gave me an assist with the housework""; ""could not walk without assistance""; ""rescue party went to their aid""; ""offered his help in unloading"""
"aikido","act","a Japanese martial art employing principles similar to judo","1","a Japanese martial art employing principles similar to judo"
"aim","act","the action of directing something at an object","4"," ""he took aim and fired"""
"air","act","travel via aircraft","6"," ""air travel involves too much waiting in airports""; ""if you've time to spare go by air"""
"air_attack","act","an attack by armed planes on a surface target","1","an attack by armed planes on a surface target"
"air_cover","act","the use of military aircraft to provide protection against attack by enemy aircraft during ground or naval operations","1","the use of military aircraft to provide protection against attack by enemy aircraft during ground or naval operations"
"air_defense","act","defensive measures designed to destroy attacking enemy aircraft or missiles or to nullify their effectiveness","2","defensive measures designed to destroy attacking enemy aircraft or missiles or to nullify their effectiveness"
"air_raid","act","an attack by armed planes on a surface target","1","an attack by armed planes on a surface target"
"air_reconnaissance","act","reconnaissance either by visual observation from the air or through the use of airborne sensors","1","reconnaissance either by visual observation from the air or through the use of airborne sensors"
"air_transport","act","transportation by air","1","transportation by air"
"air_transportation","act","transportation by air","1","transportation by air"
"air_travel","act","travel via aircraft","1"," ""air travel involves too much waiting in airports""; ""if you've time to spare go by air"""
"airborne_patrol","act","a patrol provided by aircraft","1","a patrol provided by aircraft"
"aircraft_landing","act","landing an aircraft","1","landing an aircraft"
"airdrop","act","delivery of supplies or equipment or personnel by dropping them by parachute from an aircraft","1"," ""until then, front line troops will be supplied by airdrop"""
"airing","act","a short excursion (a walk or ride) in the open air","1"," ""he took the dogs for an airing"""
"airlift","act","transportation of people or goods by air (especially when other means of access are unavailable)","1","transportation of people or goods by air (especially when other means of access are unavailable)"
"airplane_landing","act","landing an aircraft","1","landing an aircraft"
"airplane_maneuver","act","a maneuver executed by an aircraft","1","a maneuver executed by an aircraft"
"airplane_mechanics","act","the craft of building and repairing airplanes","2","the craft of building and repairing airplanes"
"Al_Alamayn","act","a pitched battle in World War II (1942) resulting in a decisive Allied victory by British troops under Montgomery over German troops under Rommel","1","a pitched battle in World War II (1942) resulting in a decisive Allied victory by British troops under Montgomery over German troops under Rommel"
"Alamo","act","a siege and massacre at a mission in San Antonio in 1836","1"," Mexican forces under Santa Anna besieged and massacred American rebels who were fighting to make Texas independent of Mexico"
"alcohol_abuse","act","excessive use of alcohol and alcoholic drinks","1","excessive use of alcohol and alcoholic drinks"
"alcoholic_abuse","act","excessive use of alcohol and alcoholic drinks","1","excessive use of alcohol and alcoholic drinks"
"alcoholism_abuse","act","excessive use of alcohol and alcoholic drinks","1","excessive use of alcohol and alcoholic drinks"
"algometry","act","measuring sensitivity to pain or pressure","1","measuring sensitivity to pain or pressure"
"alienation","act","(law) the voluntary and absolute transfer of title and possession of real property from one person to another","2"," ""the power of alienation is an essential ingredient of ownership"""
"alienation_of_affection","act","a tort based on willful and malicious interference with the marriage relation by a third party without justification or excuse","1","a tort based on willful and malicious interference with the marriage relation by a third party without justification or excuse"
"alignment","act","the act of adjusting or aligning the parts of a device in relation to each other","3","the act of adjusting or aligning the parts of a device in relation to each other"
"alimentation","act","the act of supplying food and nourishment","1","the act of supplying food and nourishment"
"aliyah","act","(Judaism) immigration of Jews to Israel","1"," ""students making aliyah"""
"alkalimetry","act","volumetric analysis using standard solutions of alkali to measure the amount of acid present","1","volumetric analysis using standard solutions of alkali to measure the amount of acid present"
"all_fours","act","card games in which points are won for taking the high or low or jack or game","1","card games in which points are won for taking the high or low or jack or game"
"allegiance","act","the act of binding yourself (intellectually or emotionally) to a course of action","2"," ""his long commitment to public service""; ""they felt no loyalty to a losing team"""
"alleviation","act","the act of reducing something unpleasant (as pain or annoyance)","1"," ""he asked the nurse for relief from the constant pain"""
"alliance","act","the act of forming an alliance or confederation","1","the act of forming an alliance or confederation"
"allocation","act","the act of distributing by allotting or apportioning","3"," distribution according to a plan; ""the apportionment of seats in the House of Representatives is based on the relative population of each state"""
"allopathy","act","the usual method of treating disease with remedies that produce effects differing from those produced by the disease itself","1","the usual method of treating disease with remedies that produce effects differing from those produced by the disease itself"
"allotment","act","the act of distributing by allotting or apportioning","3"," distribution according to a plan; ""the apportionment of seats in the House of Representatives is based on the relative population of each state"""
"allowance","act","the act of allowing","5"," ""He objected to the allowance of smoking in the dining room"""
"allurement","act","the act of enticing a person to do something wrong (as an offer of sex in return for money)","1","the act of enticing a person to do something wrong (as an offer of sex in return for money)"
"alms","act","money or goods contributed to the poor","1","money or goods contributed to the poor"
"alms-giving","act","making voluntary contributions to aid the poor","1","making voluntary contributions to aid the poor"
"almsgiving","act","making voluntary contributions to aid the poor","1","making voluntary contributions to aid the poor"
"alphabetisation","act","the act of putting in alphabetical order","1","the act of putting in alphabetical order"
"alphabetization","act","the act of putting in alphabetical order","1","the act of putting in alphabetical order"
"Alpinism","act","mountain climbing (not restricted to the Alps)","1","mountain climbing (not restricted to the Alps)"
"alteration","act","the act of making something different (as e.g. the size of a garment)","3","the act of making something different (as e.g. the size of a garment)"
"altering","act","the sterilization of an animal","1"," ""they took him to the vet for neutering"""
"alternation","act","successive change from one thing or state to another and back again","1"," ""a trill is a rapid alternation between the two notes"""
"alternative_medicine","act","the practice of medicine without the use of drugs","1"," may involve herbal medicines or self-awareness or biofeedback or acupuncture"
"amalgamation","act","the combination of two or more commercial companies","1","the combination of two or more commercial companies"
"ambages","act","(archaic) roundabout or mysterious ways of action","1","(archaic) roundabout or mysterious ways of action"
"ambassadorship","act","the post of ambassador","1","the post of ambassador"
"amble","act","a leisurely walk (usually in some public place)","1","a leisurely walk (usually in some public place)"
"ambulation","act","walking about","1"," ""the hospital encouraged early ambulation"""
"ambuscade","act","the act of concealing yourself and lying in wait to attack by surprise","2","the act of concealing yourself and lying in wait to attack by surprise"
"ambush","act","the act of concealing yourself and lying in wait to attack by surprise","2","the act of concealing yourself and lying in wait to attack by surprise"
"amelioration","act","the act of relieving ills and changing for the better","1","the act of relieving ills and changing for the better"
"amendment","act","the act of amending or correcting","3","the act of amending or correcting"
"amends","act","something done or paid in expiation of a wrong","1"," ""how can I make amends"""
"American_Civil_War","act","civil war in the United States between the North and the South","1"," 1861-1865"
"American_football","act","a game played by two teams of 11 players on a rectangular field 100 yards long","1"," teams try to get possession of the ball and advance it across the opponents goal line in a series of (running or passing) plays"
"American_football_game","act","a game played by two teams of 11 players on a rectangular field 100 yards long","1"," teams try to get possession of the ball and advance it across the opponents goal line in a series of (running or passing) plays"
"American_Revolution","act","the revolution of the American Colonies against Great Britain","2"," 1775-1783"
"American_Revolutionary_War","act","the revolution of the American Colonies against Great Britain","1"," 1775-1783"
"American_War_of_Independence","act","the revolution of the American Colonies against Great Britain","1"," 1775-1783"
"Americanism","act","a custom that is peculiar to the United States or its citizens","2","a custom that is peculiar to the United States or its citizens"
"amnesty","act","the formal act of liberating someone","1","the formal act of liberating someone"
"amnio","act","(pregnancy) extraction by centesis of amniotic fluid from a pregnant woman (after the 15th week of pregnancy) to aid in the diagnosis of fetal abnormalities","1","(pregnancy) extraction by centesis of amniotic fluid from a pregnant woman (after the 15th week of pregnancy) to aid in the diagnosis of fetal abnormalities"
"amniocentesis","act","(pregnancy) extraction by centesis of amniotic fluid from a pregnant woman (after the 15th week of pregnancy) to aid in the diagnosis of fetal abnormalities","1","(pregnancy) extraction by centesis of amniotic fluid from a pregnant woman (after the 15th week of pregnancy) to aid in the diagnosis of fetal abnormalities"
"amortisation","act","the reduction of the value of an asset by prorating its cost over a period of years","1","the reduction of the value of an asset by prorating its cost over a period of years"
"amortization","act","the reduction of the value of an asset by prorating its cost over a period of years","1","the reduction of the value of an asset by prorating its cost over a period of years"
"amphibious_assault","act","an amphibious operation attacking a land base that is carried out by troops that are landed by naval ships","1","an amphibious operation attacking a land base that is carried out by troops that are landed by naval ships"
"amphibious_demonstration","act","an amphibious operation conducted for the purpose of deceiving the enemy and leading him into a course of action unfavorable to him","1","an amphibious operation conducted for the purpose of deceiving the enemy and leading him into a course of action unfavorable to him"
"amphibious_landing","act","a military action of coordinated land, sea, and air forces organized for an invasion","1"," ""MacArthur staged a massive amphibious landing behind enemy lines"""
