FrameNet frame,Definition
Age,"An Entity has existed for a length of time, the Age. The Age can be characterized as a value of the age Attribute, or a Degree modifier may express the deviation of the Age from the norm. The Expresso..."
Aggregate,This frame contains nouns denoting Aggregates of Individuals. The Aggregates may be described by an Aggregate_property. 'An army of postal workers descended on my office.'
Aging,An Entity is undergoing a change in age typically associated with some deterioration or change in state. 'This bark ages and turns black.' 'The U.S. is to upgrade aging missile defense systems with ad...
Agree_or_refuse_to_act,"A Speaker either agrees to or refuses to engage in a Proposed_action, proposed by an Interlocutor. '' 'They agreed to express their outrage with editorials in today's paper.' 'The man's refusal to acc..."
Agriculture,In this frame an Agriculturist cultivates Food. The location or Ground where the Food is cultivated by the Agriculturist is often expressed. '' 'Peasants were encouraged to cultivate basic food crops ...
Aiming,"An Agent adjusts an Instrument to enable it to interact directly with a difficult-to-access Target_location. Usually, there is a Targeted entity at the Target_location which is mentioned in its place...."
Alliance,"After having worked separately for some time, two or more organizational or individual Members are now organized in an Alliance so that they may better pursue some common Purposes. The formerly separa..."
Alternatives,"There exist a number of different possible Situations that may happen in the future. (In some cases, the Situation is concurrent or past, and only the knowledge of which has happened is in the future...."
Amalgamation,"These words refer to Parts merging to form a Whole. (The Parts may also be encoded as Part_1 and Part_2.) There is a symmetrical relationship between the components that undergo the process, and after..."
Amassing,"A Recipient (who may or may not be agentive) ends up in possession of a Mass_theme (which may be conceptualized as a single mass entity, or may be a group of individual entities). Some lexical units (..."
Ambient_temperature,"The Temperature in a certain environment, determined by Time and Place, is specified. 'It's too hot to do anything today.' 'Nome is pretty cold this time of year' 'Last Tuesday was a real scorcher.' '..."
Ammunition,A piece of Ammunition is a disposable artifact to be fired as a projectile in a weapon with the purpose of causing harm or damage. 'The octagenarian inventor's vest repels armor-piercing bullets. ' 'I...
Amounting_to,The absolute Value of a quantifiable Attribute of an item is determined by adding up the values for the Attribute of the individuals or parts that make up the item. The item is not expressed as a sepa...
Animals,"The LUs in this frame refer to biological entities other than human beings and plants, which are labeled by the FE Animal. '' 'My husband and I adopted a really sweet dog last year.' 'The cows that li..."
Annoyance,"An Experiencer, Expressor, or State has a feeling of annoyance as evoked by a Stimulus or concerning a Topic. 'Peck was annoyed at the interruption.' 'Maggie noted his rather irritated expression.'"
Appeal,In the Appeal stage of the criminal process the Convict or his or her Representative applies to a higher Court to reverse the Decision of the lower court on certain Grounds. ' The defense plans to app...
Appellations,This frame is only for words that are used as the Titles of individuals. The Title is applied to a Name (surname or full name) and often designates their rank within a man-made institution (e.g. chief...
Apply_heat,"A Cook applies heat to Food, where the Temperature_setting of the heat and Duration of application may be specified. A Heating_instrument, generally indicated by a locative phrase, may also be express..."
Appointing,"A Selector, often an individual in a leadership role, appoints a Official to assume an official Role in an organization (which can be expressed as the Body). 'Press secretaries accredit journalists to..."
Architectural_part,An entity is integrated into a building as a Part of a (possibly unexpressed) Whole which may refer to the whole building or merely to a sub-part of the building. 'We need new counters for the kitchen...
Armor,"An Asset, the safety of which is desirable, is protected from damage by a covering, the Armor. The Armor covers part or all of the Asset and is designed to absorb force from an oncoming Danger. 'They ..."
Arraignment,"At a court hearing, a Defendant is informed of the Charges against him or her, (usually) enters a plea, and a decision is made by a Judge as to the amount of bail, if any. '' 'Mortimer and Isabella we..."
Arranging,"An Agent puts a complex Theme into a particular Configuration, which can be a proper order, a correct or suitable sequence, or a spatial position. 'He arranged the elements in the pattern that we now ..."
Arrest,"Authorities charge a Suspect, who is under suspicion of having committed a crime (the Charges), and take him/her into custody.'The police arrested Harry on charges of manslaughter.'"
Arriving,"An object Theme moves in the direction of a Goal. The Goal may be expressed or it may be understood from context, but its is always implied by the verb itself. '' 'Some students arrived at the school ..."
Arson,"A Perpetrator intentionally sets fire to his own or someone else's property, often in order to collect an insurance payment on this property. 'Two men were charged with arson.'"
Artifact,"An Artifact is deliberately made or modified by an intelligent entity to be put to a certain kind of Use. Various properties of the Artifact may be specified, such as its Creator, Time_of_creation, Na..."
Artifact_subpart,"A Component has a distinct Function in the operation of a complex Artifact, which is not regarded as complete unless it is assembled from a number of different Components. Each Component may also be d..."
Artificiality,An Entity is evaluated for whether or not it belongs to a particular Reference_category in a context where its category membership is doubtful. The criterion or criteria that are relevant to evaluatin...
Artistic_style,This frame contains LUs that express the Form which a piece of Artwork represents. The Form may also represent the entire body of an Artist's work. The Form may be further characterized by the Time of...
Assemble,"In this frame a group of Individuals intentionally come together to form a Group. Alternatively, a grammatically more prominent Party_1 assembles with a Party_2, expressed as an oblique phrase. If thi..."
Assessing,"An Assessor examines a Phenomenon to figure out its Value according to some Feature of the Phenomenon. This Value is a factor in determining the acceptability of the Phenomenon. In some cases, a Metho..."
Assigned_location,"An Individual is assigned a Station to remain at, usually in order to accomplish a task. The Station may have an intended use based on its features (e.g., a vendor's booth), or it may be temporarily a..."
Assistance,A Helper benefits a Benefited_party by enabling the culmination of a Goal that the Benefited_party has. A Focal_entity that is involved in reaching the Goal may stand in for it. This Frame has unique ...
Atonement,An Agent has committed a Wrong in the past and is making Amends for it. The Degree to which the Amends are adequate may also be expressed. 'He atoned for his sin with good works.'
Attaching,The Attaching frame covers two situations: a scene in which somebody causes one thing to be physically connected to something else; or a scene in which somebody causes two things to be connected to ea...
Attack,"An Assailant physically attacks a Victim (which is usually but not always sentient), causing or intending to cause the Victim physical damage. A Weapon used by the Assailant may also be mentioned, in ..."
Attempt,An Agent attempts to achieve a Goal. The Outcome may also be mentioned explicitly. 'John attempted to climb Mt. Everest.' 'It was another failed attempt to climb Mt. Everest.'
Attempt_means,"An Agent attempts to achieve a Goal using some Means. 'John tried using a crowbar to open the door.' 'They tried opening the window in order to rob the store.' Very frequently, an entity involved in a..."
Attempt_obtain_food_scenario,A Seeker is trying to obtain Food and is seeking it within the context of a Ground.
Attempt_suasion,The Speaker expresses through language his wish to get the Addressee to act in some way that will help to bring about events or states described in the Content. There is no implication that the Addres...
Attending,An Agent goes to an Event and is present in a relatively non-participatory way. 'The Angolan guerrillas will attend a September meeting in Zaire.' 'We just go to the movies when it rains.' 'His attend...
Attention,This frame concerns a Perceiver's state of readiness to process and consider impressions of a Figure within a Ground. It is often unknown to the Perceiver whether or not the Figure exists within the G...
Attention_getting,"This frame covers terms used to get someone's attention, including Interjections (e.g. hey, yo) and certain terms of address (Address_term), the latter of which may serve the function of attention get..."
Attitude_description,The lexical units in this frame are descriptions of a Cognizer's Attitude about or outlook on a State_of_affairs. '' 'Carl is becoming more pessimistic about the negotiations every day.' 'The benefits...
Attributed_information,"A Proposition is attributed to a Speaker or a Text. 'According to the Press Trust of India in an article published on its Web site Thursday, the woman has been identified as 31-year-old Aafia Siddiqui..."
Authority,An Agent has the means to affect a Theme along the lines of a certain Domain. There is an imbalance of influence or power within a certain Domain that favors the Agent (often due to some Source) over ...
Avoiding,"An Agent avoids an Undesirable_situation under certain Circumstances. That situation may be an activity (e.g. going to school), or an entity (perhaps) metonymic for such an activity or situation (e.g...."
Awareness,"A Cognizer has a piece of Content in their model of the world. The Content is not necessarily present due to immediate perception, but usually, rather, due to deduction from perceivables. In some case..."
Awareness_status,"Some Content is part of the mental model of a Cognizer. The Cognizer arrives at the mental model not by direct perception but by reasoning from perceived phenomena. Alternatively, the Role of a partic..."
Bail_decision,"This frame covers a step in a criminal process in which a Judge decides whether the Accused should be released on bail, and, if so, what the amount of the bail should be. '' 'Thorsen, of Grimstad, Nor..."
Be_in_agreement_on_action,"Two (or more) people (the Parties, also encodable as Party_1 and Party_2) have an agreement. Both sides are construed as having a commitment to an Obligation--the relationship is understood to be symm..."
Be_in_agreement_on_assessment,"The Cognizers have a similarity (or dissimilarity) in their Opinion. The Cognizers may be expressed separately, with Cognizer_2 being the basis for establishing the Opinion of Cognizer_1. Rather than ..."
Be_on_alert,A Protagonist has become aware of a possible Danger (a dangerous event or a Dangerous_entity that might participate in an event harmful to the Protagonist) and is ready to engage in an Activity in res...
Be_subset_of,A Part is considered to be a member of the set described by the Total. The relationship between Part and Total subset-superset rather than part-whole (as it is in the frames Part_whole and Including)....
Be_translation_equivalent,A Target_symbol in a Target_representation system is presented as equivalent to a Source_symbol in a Source_representation system in the ability to express a particular Content. 'The term employment a...
Bearing_arms,A Protagonist has (or does not have) a Weapon. The Degree to which the Protagonist is armed may also be described. The Protagonist is normally a human but may be a device that has subsidiary weapons. ...
Beat_opponent,A Winner has victory over an Loser. 'He always beats me at chess.'
Becoming,"An Entity ends up with some Final_quality--a new fact about the Entity. Alternatively, based on a cluster of changes of characteristics, the Entitynewly meets the conditions for being a member of a Fi..."
Becoming_a_member,A New_member becomes a member of a socially-constructed Group. 'Seven new members and the three countries joined the alliance five years ago.' 'Most new students enroll in a university without declari...
Becoming_attached,"An Item comes to be attached to a Goal, with a Connector forming a bond between the Handle of the Item and the Goal (or some part of it). Alternatively, multiple Items may form a bond between each oth..."
Becoming_aware,"Words in this frame have to do with a Cognizer adding some Phenomenon to their model of the world. They are similar to Coming-to-believe words, except the latter generally involve reasoning from Evide..."
Becoming_detached,The Becoming_detached frame covers two situations: a scene in which one thing comes to be physically detached from something else; or a scene in which two things come to be disconnected from each othe...
Becoming_dry,An Entity loses moisture with the outcome of being in a dry state. 'The slab dries very quickly.'
Becoming_separated,"A Whole separates into Parts, or one part of a whole, called Part_1, becomes separate from the remaining portion, Part_2. 'This small channel meanders through marsh and wetland, splitting into several..."
Becoming_silent,"In this frame a Speaker ceases speaking, sometimes about a particular Topic. An Expressor may also be indicated. '' The words of this frame are very frequently used imperatively, to the extent that ce..."
Becoming_visible,An Entity that is previously not visible to a Perceiver becomes visible. 'The armada appeared on the horizon at sunset.' 'The captain ordered his men to dig at the X and the corner of a chest appeared...
Behind_the_scenes,"Artists work at various tasks that further the completion of a film, play, television show, or other similar Production. Artists never appear on stage or in front of a camera. Some (e.g., a director) ..."
Being_active,"An Agent is described as pursuing an Activity, expending some effort. The Agent may be active in a particular Role. Alternatively, the Activity itself may be described as having an Agent who is expend..."
Being_at_risk,"An Asset is in a state where it is exposed to or otherwise liable to be affected by a Harmful_event, which may be metonymically evoked by reference to a Dangerous_entity. Words expressing relative saf..."
Being_attached,"An Item is attached by a Handle, via a Connector, to a Goal, or Items are attached to each other. There may be a Dependent_state, which depends crucially on Item(s) being attached. 'My thumb was stuck..."
Being_awake,A Protagonist is awake at some Time and Place. This entails the Protagonist having a higher general level of awareness of the surroundings than when asleep. 'He's awake!'
Being_born,"This frame concerns the inception of the life of a Child, generally human, at a particular Time and Place. The Relatives may also be mentioned. 'Little Jessie came into the world at 8 last night.'"
Being_detached,"An Item is detached from a Source, or Items are detached from each other. 'When the snow plow is disconnected from the vehicle, extend the lift cylinder to the end of its stroke and coat the chrome ro..."
Being_dry,An Item is in a state of dryness. 'The shingles are dry.' 'The apple is completely dehydrated.' ' The mop is dry.'
Being_employed,"An Employee has a Position doing work in a particular Field, or doing work on a particular Task, for which an Employer gives Compensation to the Employee. ' Undocumented foreigners are working as buil..."
Being_in_captivity,A Theme is held in captivity by an Agent or Cause. 'Twenty soldiers were in captivity for over a month before they were released' 'I never release my prisoners.' 'She couldn't believe she was prisoner...
Being_in_category,"An Item belongs to a Category, as (often implicitly) conceived of by a Cognizer. 'To me this counts as historical fiction because it is based on real events.'"
Being_in_control,"A Controlling_entity has control of a Dependent_entity, Dependent_situation, or Dependent_variable. 'She was in control of the empire within two days.' This frame is distinct from Control in that the ..."
Being_in_effect,"A particular Binding_principle is (or is not) operative, that is, any obligations, restrictions, and any other aspects of the Binding_principle are (or are not) in effect. The Binding_principle can be..."
Being_in_operation,A Device or machine is in (or out of) service. Note that being broken or functional is a separate issue from being turned on or off. This latter notion is what the present frame is concerned with. The...
Being_incarcerated,A Prisoner is punished for committing a Crime by being confined to a Prison for a specified period of time. 'Phil's serving time at Pelican Bay.'
Being_located,A Theme is in a stable position with respect to a Location. 'Our offices are located about two miles south of I-85 .'
Being_named,This frame concerns entities conventionally being referred to by particular names. 'Her name was Lola.'
Being_necessary,A Dependent state-of-affairs has a Requirement as a prerequisite for obtaining or occurring. 'The atomic bombings were probably not necessary to win WWII without a mainland invasion of Japan.' 'We wil...
Being_obligated,"Under some Condition, usually left implicit, a Responsible_party is required to perform some Duty. If they do not perform the Duty, there may be some undesirable Consequence, which may or may not be s..."
Being_obligatory,"Under some Condition, usually left implicit, a Duty needs to be fulfilled by a Responsible_party. If the Duty is not performed, there may be some undesirable Consequence for the Responsible_party, whi..."
Being_operational,An Object with an understood function is or is not in a state ready to perform that function. 'The remote is almost broken.' 'Hand me that broken watch so I can throw it away.'
Being_questionable,"In this frame, an Entity or Behavior is suspicious or otherwise subject to question. The general implication is that the Entity or Behavior provides evidence for some (as yet unproven) socially undesi..."
Being_relevant,"A Phenomenon is related to some cognitive action, the Endeavor, of a Cognizer. In many LUs, the Cognizer is null-instantiated and implied as being the speaker or another participant of the Endeavor. '..."
Being_rotted,"An organic item, the Patient, has undergone the natural process of rotting and decaying with a possible expression of the Degree to which the rotting has occurred. 'The coconut milk became rancid.'"
Being_up_to_it,"An Entity meets the pre-conditions for participating in an Activity that is judged to be difficult for it to participate in, either due to inherent properties of the Entity or temporary Circumstances...."
Being_wet,"An Item is in a state of wetness with the possibility of the wetting Liquid being mentioned, along with the Degree of wetness. ' The mop is drenched with water from last night's rain.'"
Besieging,"An Assailant, a group of armed forces, surrounds the Victim, a military location and the people within it, in an attempt to cut the Victim off from the outside, with the goal of either forcing their s..."
Beyond_compare,"Compared to its Competitors, a Standard is at the high end of a scale with respect to some Variable. The Competitors are frequently not realized syntactically. 'The taxpayer is supporting a system unm..."
Billing,A Billing_authority communicates in written form that the Debtor owes the Owed_party (often the same as the Billing_authority) some amount of Money for certain Goods (including services) provided by t...
Biological_area,"This frame contains words that denote large ecological areas as well as smaller locations characterized by the type of life present--in other words, geography locations as defined by biota. 'I've spen..."
Biological_classification,This frame has to do with scientific taxonomy. The lexical units in this frame include the seven major classifications in which organisms are grouped based on common biological characteristics. These ...
Biological_entity,"The LUs in this frame refer to biological entities labeled by the FE Organism. An Organism is described as something that can be alive, or have naturally occuring biological processes and functions; h..."
Biological_mechanisms,A trigger mechanism brings about a change in a biological system. 'The reflex increases cardiac output.'
Biological_urge,"An Experiencer is in a State where a biological urge is signaling the need to perform a certain action such as eating, drinking, stopping exertion, sleeping, regurgitating, or having sex. The Duration..."
Board_vehicle,"A Traveller boards a Vehicle that they intend to use as a means of transportation either as a passenger or as a driver. 'On the 5th of December, 1834, we embarked on board the merchant ship Hellespont..."
Body_decoration,This frame concerns the decorations that human beings have on or apply to their bodies. 'Abby rarely wears lipstick.'
Body_description_holistic,"This frame covers descriptions of an entire human body, viewed as a gestalt (as opposed to descriptions based on salient body parts). The Frame Elements are Individual and Figure. 'Chuck is muscular.'..."
Body_description_part,This frame is concerned with words that describe a person based on a salient part of their body. 'He was a blonde guy.' 'He was a peg-leg.'
Body_mark,In this frame a Body_mark is present on a Possessor's body. It may be located at an Attachment and have a Descriptor. A Cause may also be indicated. It may be a temporary condition or a permanent one....
Body_movement,"This frame contains words for motions or actions an Agent performs using some part of his/her body. A number of words in this frame occur as blends with Communication, in which the action has an Addre..."
Body_parts,"This frame covers words for Body_part(s) (BP) belonging to a Possessor (Poss), which may be characterized by a Descriptor (Desc). The location of the BP may be identified in terms of its Attachment or..."
Bond_maturation,"A Financial_instrument (a bond or insurance) fulfills a condition at a certain Time after which the Issuer of the Financial_instrument is legally obligated to pay the Holder a monetary Value, based on..."
Borrowing,The Borrower takes possession of a Theme with the knowledge that the Borrower will have to give the Theme back to the Lender after a Duration of time. This frame differs from the Lending frame in that...
Boundary,"This frame contains words that describe a Boundary between two Entities. In many cases, the Boundary is the border between an Entity and some unnamed space, generally conceived of as empty. 'The canyo..."
Bragging,"A Speaker talks about a Topic, which may be an action performed by the Speaker or an entity or state of affairs that they are associated with in order to suggest that the Speaker is worthy of admirati..."
Breaking_apart,"A Whole breaks apart into Pieces, resulting in the loss of the Whole (and in most cases, no piece that has a separate function). 'The plane violently broke apart in mid-air.' 'And then, I finally real..."
Breaking_off,An single Subpart breaks off from a Whole. 'The original sword may have chipped off of the statue long ago.'
Breaking_out_captive,An Agent brings about the end of a Theme's captivity at a Location_of_confinement in contravention of the plans or desires of a captor. 'His accomplice freed him from Sing Sing prison thanks to his di...
Breathing,"An Agent causes Air to move in a direction, usually specifying either in or out of the body. 'Lee breathed the hot desert air.'"
Bringing,"This frame concerns the movement of a Theme and an Agent and/or Carrier. The Agent, a person or other sentient entity, controls the shared Path by moving the Theme during the motion. In other words, t..."
Building,"This frame describes assembly or construction actions, where an Agent joins Components together to form a Created_entity, which is profiled, and hence the object of the verb. 'Jack built a new house o..."
Building_subparts,This frame includes words that name subparts of buildings that can be occupied by people. 'Mary left the room in a huff.'
Buildings,"This frame contains words which name permanent fixed structures forming an enclosure and providing protection from the elements. 'The baroque church, built in 1635, has a very rich interior' 'The city..."
Bungling,An Agent performs an Action incorrectly. The affected Patient may be mentioned metonymically for the Action. 'Mickey botched that swing.' 'Julia bungled the cake.'
Burying,An Agent or Cause places a Theme under a surface (often the ground) into a Goal location. 'The suspect buried his gun in the ground while fleeing the police.'
Business_closure,"A business locale, the Entity, ceases to provide services and closes. 'Exxon went under.'"
Businesses,A Proprietor owns or runs a Business which provides a Product (which may be goods or services). 'The consumer electronics company Apple has exploded with popularity in recent years.'
Cache,"A hidden Cache of a Resource is kept safe and available for later Use. The existence, location, and other information about the Cache is kept secret by the Possessor. 'They no doubt had to move their ..."
Calendric_unit,"Words in this frame name the different parts of the calendric cycle, both man-made and natural. The Unit (e.g. Tuesday) specifies some time period as part of a specific larger temporal Whole (Tuesday ..."
Candidness,"This frame contains adjectives and nouns that describe the truth or sincerity of communication. These words, analogously to behaver-evaluating words, can apply either to Speakers or to the Messages th..."
Capability,An Entity meets the pre-conditions for participating in an Event. A Degree modifier may be included to indicate by how much the Entity exceeds or falls short of the minimum requirements. 'Conductor so...
Capacity,An Entity has the ability to contain a Theme. 'Our facility seats up to 500 people.'
Capital_stock,"This frame concerns Stock, a purchasable and sellable asset representing a Shareholder's share in a company (the Issuer). Stock entitles the Shareholder to profits of the Issuer company, as determined..."
Cardinal_numbers,This frame presents a situation where there is a certain Number of instances of an Entity or a certain Number that quantifies a Unit. Numbers are used to count any kind of Entity that has distinct ind...
Carry_goods,"A Distributor sells, lends, or otherwise distributes a class of Goods. In the prototypical case, the Distributor is a retailer who generally keeps some type of Goods on site for the purpose of selling..."
Catastrophe,The words in this frame involve an Undesirable_event which affects the Patient negatively. No agent need be involved. '' 'The first calamity was a disastrous trade war with Holland.' 'It is sad to hav...
Catching_fire,"A Fuel, some flammable object or substance, ends up on fire. In this frame, the cause of the fire is not the primary concern, but rather the fact that a fire started. In rare cases, only the Fire is m..."
Categorization,"A Cognizer construes an Item as belonging to a certain Category. In this process, the Cognizer may either passively perceive the Item and note that it fits the Criteria for a Category, or, alternative..."
Causation,"A Cause causes an Effect. Alternatively, an Actor, a participant of a (implicit) Cause, may stand in for the Cause. The entity Affected by the Causation may stand in for the overall Effect situation o..."
Cause_bodily_experience,An Agent or Cause affects a Body_part of an Experiencer so that the quality of the Experiencer's perceptual experience of the Body_part is qualitatively changed. 'Chandra massaged Liliana's wrist beca...
Cause_change,"An Agent or Cause causes an Entity to change, either in its category membership or in terms of the value of an Attribute. In the former case, an Initial_category and a Final_category may be expressed,..."
Cause_change_of_consistency,In this frame an Agent or Cause changes the consistency of a Patient from its Initial_state to a Result. This may take place under certain Circumstances for a Purpose or Reason in a certain Manner. A ...
Cause_change_of_phase,"A Cause or Agent causes a Patient to undergo a change of phase. The Result of the change may be given, along with the Initial_state and the Circumstances under which the change can occur. Note that th..."
Cause_change_of_position_on_a_scale,This frame consists of words that indicate that an Agent or a Cause affects the position of an Item on some scale (the Attribute) to change it from an initial value (Value_1) to an end value (Value_2)...
Cause_change_of_strength,"An Agent causes a Patient to be more strong, often resulting in something that is more secure and safe. 'Local Serbs are strengthening their grip on a narrow corridor along the Sava River between two ..."
Cause_emotion,An Agent acts to cause a Experiencer to feel a certain emotion. 'I was so offended by her behaviour towards me.' 'It does not matter if the cartoon is insulting to men.'
Cause_expansion,An Agent or non-human Cause causes an Item to change its physical size. The Size_change of an Item may be explicitly indicated or characterized in terms of Initial_size and/or Result_size. In the defa...
Cause_fluidic_motion,An Agent or a Cause causes a Fluid to move from a Source to a Goal along a Path or within an Area. 'I splattered red paint nearby.'
Cause_harm,The words in this frame describe situations in which an Agent or a Cause injures a Victim. The Body_part of the Victim which is most directly affected may also be mentioned in the place of the Victim....
Cause_impact,"An Agent causes an Impactor to make sudden, forcible contact with an Impactee, or manipulates two (or more) Impactors so that they make mutual forcible contact. 'He slammed his fist down on the table ..."
Cause_motion,"An Agent causes a Theme to move from a Source, along a Path, to a Goal. Different members of the frame emphasize the trajectory to different degrees, and a given instance of the frame will usually lea..."
Cause_proliferation_in_number,"An Agent (or inanimate Cause) affects a Set so that the number of entities that make up the Set changes from an Initial_number to a Final_number. Alternatively, the situation can be described in terms..."
Cause_temperature_change,"In this frame, an Agent changes the temperature of an Item. A Temperature_goal can specify the desired temperature. A Temperature_change can also be indicated. The Temperature_start indicates the init..."
Cause_to_amalgamate,"These words refer to an Agent joining Parts to form a Whole. (The Parts may also be encoded as Part_1 and Part_2.) There is a symmetrical relationship between the components that undergo the process, ..."
Cause_to_be_dry,"An Agent causes a Dryee (either a surface or an entire entity, inside and out) to become dry. This should not include examples like ""drying tears"" or ""drying spills"" as these are in the Removing frame..."
Cause_to_be_included,An Agent or Cause makes a New_member part of Group. The Group may be represented by an individual Existing_member if it implies the existence of a set of members. 'I added a new rock to my collection....
Cause_to_be_sharp,An Agent or Cause makes a Patient sharper or duller. An Instrument or Means may be mentioned. 'John is in the basement sharpening his axe.'
Cause_to_be_wet,"An Agent causes a Patient to be wet with a Liquid. In this frame, the Liquid can be a liquid or gas. Patients are porous objects, but not hollow (like containers). 'Jo soaked the dog with water.' 'Ell..."
Cause_to_continue,An Agent or Cause causes a Process or State to continue. ' The goaltenders kept the game going with terrific saves.'
Cause_to_end,"An Agent or Cause causes a Process or State to end. 'Bush may lift sanctions on his own, despite opposition.'"
Cause_to_experience,An Agent intentionally seeks to bring about an internal mental or emotional state in the Experiencer. This frame in closely related to Experiencer_obj. ' Samantha terrorized the children into screamin...
Cause_to_fragment,"An Agent suddenly and often violently separates the Whole_patient into two or more smaller Pieces, resulting in the Whole_patient no longer existing as such. Several lexical items are marked with the ..."
Cause_to_land,"An Operator maneuvers onto land a Vehicle which typically does not operate on land, e.g., an airplane or boat. 'The terrified pilot landed the passenger-filled airplane into the river.'"
Cause_to_make_noise,An Agent manipulates a Sound_maker or a Cause causes the Sound_maker to emit a sound. 'The monks would ring the bell until sundown.'
Cause_to_make_progress,An Agent works on a Project so that it reaches a more advanced and desirable state. 'I improve FrameNet.'
Cause_to_move_in_place,"An Agent causes a Theme to move with respect to a certain Fixed_location, generally with a certain Periodicity, without undergoing unbounded translational motion or significant alteration of configura..."
Cause_to_perceive,"An Agent, Actor, Entity, or Medium causes a Phenomenon to be perceived by a Perceiver. With an Actor, Entity, or Medium, the Perceiver is usually unspecified. 'Aileen showed Rob the book.' 'He exhibit..."
Cause_to_resume,An Agent acts so as to cause some process to begin again after an interruption or suspension. 'The two countries revived diplomatic relations after a lull of five years.'
Cause_to_rot,"An Patient, which is an organic substance, undergoes the natural process of decay due to a Cause (or Agent). 'Moisture rotted the bread.'"
