Tool,Document ID,Sentence ID,Document,S,V,O/A,LOCATION,TIME,Sentence
Senna,1,6,"=hyperlink(""/Users/admin/Desktop/EMORY/Academics/Spring_2021/SOC497R/NLP2/sampleData/test/The Three Little Pigs.txt"")",I,huff,,,Then,"The wolf then answered to that : "" Then I 'll huff , and I 'll puff , and I 'll blow your house in. "" "
Senna,1,6,"=hyperlink(""/Users/admin/Desktop/EMORY/Academics/Spring_2021/SOC497R/NLP2/sampleData/test/The Three Little Pigs.txt"")",I,puff,,,,"The wolf then answered to that : "" Then I 'll huff , and I 'll puff , and I 'll blow your house in. "" "
Senna,1,6,"=hyperlink(""/Users/admin/Desktop/EMORY/Academics/Spring_2021/SOC497R/NLP2/sampleData/test/The Three Little Pigs.txt"")",I,blow,house,,,"The wolf then answered to that : "" Then I 'll huff , and I 'll puff , and I 'll blow your house in. "" "
Open IE,1,7,"=hyperlink(""/Users/admin/Desktop/EMORY/Academics/Spring_2021/SOC497R/NLP2/sampleData/test/The Three Little Pigs.txt"")",he,ate,pig,,,"So he huffed, and he puffed, and he blew his house in, and ate up the little pig."
Open IE,1,7,"=hyperlink(""/Users/admin/Desktop/EMORY/Academics/Spring_2021/SOC497R/NLP2/sampleData/test/The Three Little Pigs.txt"")",he,blew,house,,,"So he huffed, and he puffed, and he blew his house in, and ate up the little pig."
Senna,1,7,"=hyperlink(""/Users/admin/Desktop/EMORY/Academics/Spring_2021/SOC497R/NLP2/sampleData/test/The Three Little Pigs.txt"")",he,puffed,,,,"So he huffed , and he puffed , and he blew his house in , and ate up the little pig . "
Senna,1,7,"=hyperlink(""/Users/admin/Desktop/EMORY/Academics/Spring_2021/SOC497R/NLP2/sampleData/test/The Three Little Pigs.txt"")",he,blew,house,,,"So he huffed , and he puffed , and he blew his house in , and ate up the little pig . "
Senna,1,7,"=hyperlink(""/Users/admin/Desktop/EMORY/Academics/Spring_2021/SOC497R/NLP2/sampleData/test/The Three Little Pigs.txt"")",he,ate up,pig,,,"So he huffed , and he puffed , and he blew his house in , and ate up the little pig . "
Open IE,1,8,"=hyperlink(""/Users/admin/Desktop/EMORY/Academics/Spring_2021/SOC497R/NLP2/sampleData/test/The Three Little Pigs.txt"")",pig,met,man,,,"The second little, pig met a man with a bundle of furze, and said: ""Please, man, give me that furze to build a house."""
Open IE,1,8,"=hyperlink(""/Users/admin/Desktop/EMORY/Academics/Spring_2021/SOC497R/NLP2/sampleData/test/The Three Little Pigs.txt"")",pig,met,man bundle,,,"The second little, pig met a man with a bundle of furze, and said: ""Please, man, give me that furze to build a house."""
Open IE,1,8,"=hyperlink(""/Users/admin/Desktop/EMORY/Academics/Spring_2021/SOC497R/NLP2/sampleData/test/The Three Little Pigs.txt"")",pig,met,man bundle furze,,,"The second little, pig met a man with a bundle of furze, and said: ""Please, man, give me that furze to build a house."""
Senna,1,8,"=hyperlink(""/Users/admin/Desktop/EMORY/Academics/Spring_2021/SOC497R/NLP2/sampleData/test/The Three Little Pigs.txt"")",pig,met,man,,The second little,"The second little , pig met a man with a bundle of furze , and said : "" Please , man , give me that furze to build a house . "" "
Senna,1,8,"=hyperlink(""/Users/admin/Desktop/EMORY/Academics/Spring_2021/SOC497R/NLP2/sampleData/test/The Three Little Pigs.txt"")",pig,said,,,,"The second little , pig met a man with a bundle of furze , and said : "" Please , man , give me that furze to build a house . "" "
Senna,1,8,"=hyperlink(""/Users/admin/Desktop/EMORY/Academics/Spring_2021/SOC497R/NLP2/sampleData/test/The Three Little Pigs.txt"")",me,give,,,,"The second little , pig met a man with a bundle of furze , and said : "" Please , man , give me that furze to build a house . "" "
Senna,1,8,"=hyperlink(""/Users/admin/Desktop/EMORY/Academics/Spring_2021/SOC497R/NLP2/sampleData/test/The Three Little Pigs.txt"")",me,build,house,,,"The second little , pig met a man with a bundle of furze , and said : "" Please , man , give me that furze to build a house . "" "
Open IE,1,9,"=hyperlink(""/Users/admin/Desktop/EMORY/Academics/Spring_2021/SOC497R/NLP2/sampleData/test/The Three Little Pigs.txt"")",pig,built,house,,,"Which the man did, and the pig built his house."
Senna,1,9,"=hyperlink(""/Users/admin/Desktop/EMORY/Academics/Spring_2021/SOC497R/NLP2/sampleData/test/The Three Little Pigs.txt"")",man,did,,,,"Which the man did , and the pig built his house . "
Senna,1,9,"=hyperlink(""/Users/admin/Desktop/EMORY/Academics/Spring_2021/SOC497R/NLP2/sampleData/test/The Three Little Pigs.txt"")",pig,built,house,,,"Which the man did , and the pig built his house . "
Senna,1,10,"=hyperlink(""/Users/admin/Desktop/EMORY/Academics/Spring_2021/SOC497R/NLP2/sampleData/test/The Three Little Pigs.txt"")",wolf,came,,,Then along,"Then along came the wolf , and said : "" Little pig , little pig , let me come in. "" "" "
Senna,1,10,"=hyperlink(""/Users/admin/Desktop/EMORY/Academics/Spring_2021/SOC497R/NLP2/sampleData/test/The Three Little Pigs.txt"")",me,let,,,,"Then along came the wolf , and said : "" Little pig , little pig , let me come in. "" "" "
Senna,1,10,"=hyperlink(""/Users/admin/Desktop/EMORY/Academics/Spring_2021/SOC497R/NLP2/sampleData/test/The Three Little Pigs.txt"")",me,come,,,,"Then along came the wolf , and said : "" Little pig , little pig , let me come in. "" "" "
Open IE,1,12,"=hyperlink(""/Users/admin/Desktop/EMORY/Academics/Spring_2021/SOC497R/NLP2/sampleData/test/The Three Little Pigs.txt"")",I,blow,house,,,"""Then I'll puff, and I'll huff, and I'll blow your house in."""
Senna,1,12,"=hyperlink(""/Users/admin/Desktop/EMORY/Academics/Spring_2021/SOC497R/NLP2/sampleData/test/The Three Little Pigs.txt"")",I,puff,,,,"Then I 'll puff , and I 'll huff , and I 'll blow your house in. "" "
Senna,1,12,"=hyperlink(""/Users/admin/Desktop/EMORY/Academics/Spring_2021/SOC497R/NLP2/sampleData/test/The Three Little Pigs.txt"")",I,huff,,,,"Then I 'll puff , and I 'll huff , and I 'll blow your house in. "" "
Senna,1,12,"=hyperlink(""/Users/admin/Desktop/EMORY/Academics/Spring_2021/SOC497R/NLP2/sampleData/test/The Three Little Pigs.txt"")",I,blow,house,,,"Then I 'll puff , and I 'll huff , and I 'll blow your house in. "" "
Open IE,1,13,"=hyperlink(""/Users/admin/Desktop/EMORY/Academics/Spring_2021/SOC497R/NLP2/sampleData/test/The Three Little Pigs.txt"")",he,ate,pig,,,"So he huffed, and he puffed, and he puffed, and he huffed, and at last he blew the house down, and he ate up the little pig."
Open IE,1,13,"=hyperlink(""/Users/admin/Desktop/EMORY/Academics/Spring_2021/SOC497R/NLP2/sampleData/test/The Three Little Pigs.txt"")",he,blew,house,,,"So he huffed, and he puffed, and he puffed, and he huffed, and at last he blew the house down, and he ate up the little pig."
Senna,1,13,"=hyperlink(""/Users/admin/Desktop/EMORY/Academics/Spring_2021/SOC497R/NLP2/sampleData/test/The Three Little Pigs.txt"")",he,puffed,,,,"So he huffed , and he puffed , and he puffed , and he huffed , and at last he blew the house down , and he ate up the little pig . "
Senna,1,13,"=hyperlink(""/Users/admin/Desktop/EMORY/Academics/Spring_2021/SOC497R/NLP2/sampleData/test/The Three Little Pigs.txt"")",he,puffed,,,,"So he huffed , and he puffed , and he puffed , and he huffed , and at last he blew the house down , and he ate up the little pig . "
Senna,1,13,"=hyperlink(""/Users/admin/Desktop/EMORY/Academics/Spring_2021/SOC497R/NLP2/sampleData/test/The Three Little Pigs.txt"")",he,huffed,,,,"So he huffed , and he puffed , and he puffed , and he huffed , and at last he blew the house down , and he ate up the little pig . "
Senna,1,13,"=hyperlink(""/Users/admin/Desktop/EMORY/Academics/Spring_2021/SOC497R/NLP2/sampleData/test/The Three Little Pigs.txt"")",he,blew,house,,at last,"So he huffed , and he puffed , and he puffed , and he huffed , and at last he blew the house down , and he ate up the little pig . "
Senna,1,13,"=hyperlink(""/Users/admin/Desktop/EMORY/Academics/Spring_2021/SOC497R/NLP2/sampleData/test/The Three Little Pigs.txt"")",he,ate up,pig,,,"So he huffed , and he puffed , and he puffed , and he huffed , and at last he blew the house down , and he ate up the little pig . "
Open IE,1,14,"=hyperlink(""/Users/admin/Desktop/EMORY/Academics/Spring_2021/SOC497R/NLP2/sampleData/test/The Three Little Pigs.txt"")",pig,met,man,,,"The third little pig met a man with a load of bricks, and said: ""Please, man, give me those bricks to build a house with."""
Open IE,1,14,"=hyperlink(""/Users/admin/Desktop/EMORY/Academics/Spring_2021/SOC497R/NLP2/sampleData/test/The Three Little Pigs.txt"")",pig,met,man load bricks,,,"The third little pig met a man with a load of bricks, and said: ""Please, man, give me those bricks to build a house with."""
Senna,1,14,"=hyperlink(""/Users/admin/Desktop/EMORY/Academics/Spring_2021/SOC497R/NLP2/sampleData/test/The Three Little Pigs.txt"")",pig,met,man,,,"The third little pig met a man with a load of bricks , and said : "" Please , man , give me those bricks to build a house with . "" "
Senna,1,14,"=hyperlink(""/Users/admin/Desktop/EMORY/Academics/Spring_2021/SOC497R/NLP2/sampleData/test/The Three Little Pigs.txt"")",man,said,,,,"The third little pig met a man with a load of bricks , and said : "" Please , man , give me those bricks to build a house with . "" "
Senna,1,14,"=hyperlink(""/Users/admin/Desktop/EMORY/Academics/Spring_2021/SOC497R/NLP2/sampleData/test/The Three Little Pigs.txt"")",me,give,,,,"The third little pig met a man with a load of bricks , and said : "" Please , man , give me those bricks to build a house with . "" "
Senna,1,14,"=hyperlink(""/Users/admin/Desktop/EMORY/Academics/Spring_2021/SOC497R/NLP2/sampleData/test/The Three Little Pigs.txt"")",me,build,house,,,"The third little pig met a man with a load of bricks , and said : "" Please , man , give me those bricks to build a house with . "" "
Open IE,1,15,"=hyperlink(""/Users/admin/Desktop/EMORY/Academics/Spring_2021/SOC497R/NLP2/sampleData/test/The Three Little Pigs.txt"")",he,built,house,,,"So the man gave him the bricks, and he built his house with them."
Open IE,1,15,"=hyperlink(""/Users/admin/Desktop/EMORY/Academics/Spring_2021/SOC497R/NLP2/sampleData/test/The Three Little Pigs.txt"")",man,gave,bricks,,,"So the man gave him the bricks, and he built his house with them."
Open IE,1,15,"=hyperlink(""/Users/admin/Desktop/EMORY/Academics/Spring_2021/SOC497R/NLP2/sampleData/test/The Three Little Pigs.txt"")",man,gave,him,,,"So the man gave him the bricks, and he built his house with them."
Senna,1,15,"=hyperlink(""/Users/admin/Desktop/EMORY/Academics/Spring_2021/SOC497R/NLP2/sampleData/test/The Three Little Pigs.txt"")",man,gave,him,,,"So the man gave him the bricks , and he built his house with them. "
Senna,1,15,"=hyperlink(""/Users/admin/Desktop/EMORY/Academics/Spring_2021/SOC497R/NLP2/sampleData/test/The Three Little Pigs.txt"")",he,built,house,,,"So the man gave him the bricks , and he built his house with them. "
Open IE,1,16,"=hyperlink(""/Users/admin/Desktop/EMORY/Academics/Spring_2021/SOC497R/NLP2/sampleData/test/The Three Little Pigs.txt"")",he,did,pigs,,,"So the wolf came, as he did to the other little pigs, and said: ""Little pig, little pig, let me come in."""
Senna,1,16,"=hyperlink(""/Users/admin/Desktop/EMORY/Academics/Spring_2021/SOC497R/NLP2/sampleData/test/The Three Little Pigs.txt"")",wolf,came,,,,"So the wolf came , as he did to the other little pigs , and said : "" Little pig , little pig , let me come in. "" "" "
Senna,1,16,"=hyperlink(""/Users/admin/Desktop/EMORY/Academics/Spring_2021/SOC497R/NLP2/sampleData/test/The Three Little Pigs.txt"")",he,did,pigs,,,"So the wolf came , as he did to the other little pigs , and said : "" Little pig , little pig , let me come in. "" "" "
Senna,1,16,"=hyperlink(""/Users/admin/Desktop/EMORY/Academics/Spring_2021/SOC497R/NLP2/sampleData/test/The Three Little Pigs.txt"")",he,said,,,,"So the wolf came , as he did to the other little pigs , and said : "" Little pig , little pig , let me come in. "" "" "
Senna,1,16,"=hyperlink(""/Users/admin/Desktop/EMORY/Academics/Spring_2021/SOC497R/NLP2/sampleData/test/The Three Little Pigs.txt"")",me,let,,,,"So the wolf came , as he did to the other little pigs , and said : "" Little pig , little pig , let me come in. "" "" "
Senna,1,16,"=hyperlink(""/Users/admin/Desktop/EMORY/Academics/Spring_2021/SOC497R/NLP2/sampleData/test/The Three Little Pigs.txt"")",me,come,,,,"So the wolf came , as he did to the other little pigs , and said : "" Little pig , little pig , let me come in. "" "" "
Open IE,1,18,"=hyperlink(""/Users/admin/Desktop/EMORY/Academics/Spring_2021/SOC497R/NLP2/sampleData/test/The Three Little Pigs.txt"")",I,blow,house,,,"""Then I'll huff, and I'll puff, and I'll blow your house in."""
Senna,1,18,"=hyperlink(""/Users/admin/Desktop/EMORY/Academics/Spring_2021/SOC497R/NLP2/sampleData/test/The Three Little Pigs.txt"")",I,huff,,,,"Then I 'll huff , and I 'll puff , and I 'll blow your house in. "" "
Senna,1,18,"=hyperlink(""/Users/admin/Desktop/EMORY/Academics/Spring_2021/SOC497R/NLP2/sampleData/test/The Three Little Pigs.txt"")",I,puff,,,,"Then I 'll huff , and I 'll puff , and I 'll blow your house in. "" "
Senna,1,18,"=hyperlink(""/Users/admin/Desktop/EMORY/Academics/Spring_2021/SOC497R/NLP2/sampleData/test/The Three Little Pigs.txt"")",I,blow,house,,,"Then I 'll huff , and I 'll puff , and I 'll blow your house in. "" "
Senna,1,19,"=hyperlink(""/Users/admin/Desktop/EMORY/Academics/Spring_2021/SOC497R/NLP2/sampleData/test/The Three Little Pigs.txt"")",he,huffed,,,,"Well , he huffed , and he puffed , and he huffed and he puffed , and he puffed and huffed ; but he could not get the house down . "
Senna,1,19,"=hyperlink(""/Users/admin/Desktop/EMORY/Academics/Spring_2021/SOC497R/NLP2/sampleData/test/The Three Little Pigs.txt"")",he,puffed,,,,"Well , he huffed , and he puffed , and he huffed and he puffed , and he puffed and huffed ; but he could not get the house down . "
Senna,1,19,"=hyperlink(""/Users/admin/Desktop/EMORY/Academics/Spring_2021/SOC497R/NLP2/sampleData/test/The Three Little Pigs.txt"")",he,puffed,,,,"Well , he huffed , and he puffed , and he huffed and he puffed , and he puffed and huffed ; but he could not get the house down . "
Senna,1,19,"=hyperlink(""/Users/admin/Desktop/EMORY/Academics/Spring_2021/SOC497R/NLP2/sampleData/test/The Three Little Pigs.txt"")",he,puffed,,,,"Well , he huffed , and he puffed , and he huffed and he puffed , and he puffed and huffed ; but he could not get the house down . "
Senna,1,19,"=hyperlink(""/Users/admin/Desktop/EMORY/Academics/Spring_2021/SOC497R/NLP2/sampleData/test/The Three Little Pigs.txt"")",he,get,house,,,"Well , he huffed , and he puffed , and he huffed and he puffed , and he puffed and huffed ; but he could not get the house down . "
Senna,1,20,"=hyperlink(""/Users/admin/Desktop/EMORY/Academics/Spring_2021/SOC497R/NLP2/sampleData/test/The Three Little Pigs.txt"")",he,found,he,,,"When he found that he could not , with all his huffing and puffing , blow the house down , he said : "" Little pig , I know where there is a nice field of turnips . "" "" "
Senna,1,20,"=hyperlink(""/Users/admin/Desktop/EMORY/Academics/Spring_2021/SOC497R/NLP2/sampleData/test/The Three Little Pigs.txt"")",he,blow,house,,,"When he found that he could not , with all his huffing and puffing , blow the house down , he said : "" Little pig , I know where there is a nice field of turnips . "" "" "
Senna,1,20,"=hyperlink(""/Users/admin/Desktop/EMORY/Academics/Spring_2021/SOC497R/NLP2/sampleData/test/The Three Little Pigs.txt"")",he,said,pig,,"When he found that he could not , with all his huffing and puffing , blow the house down","When he found that he could not , with all his huffing and puffing , blow the house down , he said : "" Little pig , I know where there is a nice field of turnips . "" "" "
Senna,1,20,"=hyperlink(""/Users/admin/Desktop/EMORY/Academics/Spring_2021/SOC497R/NLP2/sampleData/test/The Three Little Pigs.txt"")",I,know,field,,,"When he found that he could not , with all his huffing and puffing , blow the house down , he said : "" Little pig , I know where there is a nice field of turnips . "" "" "
Senna,1,22,"=hyperlink(""/Users/admin/Desktop/EMORY/Academics/Spring_2021/SOC497R/NLP2/sampleData/test/The Three Little Pigs.txt"")",pig,said,,,,"said the little pig . "" "
Senna,1,24,"=hyperlink(""/Users/admin/Desktop/EMORY/Academics/Spring_2021/SOC497R/NLP2/sampleData/test/The Three Little Pigs.txt"")",I,call,,,,"Smith 's Home - field , and if you will be ready to - morrow morning I will call for you , and we will go together , and get some for dinner . "" "" "
Senna,1,24,"=hyperlink(""/Users/admin/Desktop/EMORY/Academics/Spring_2021/SOC497R/NLP2/sampleData/test/The Three Little Pigs.txt"")",we,go,,,,"Smith 's Home - field , and if you will be ready to - morrow morning I will call for you , and we will go together , and get some for dinner . "" "" "
Senna,1,24,"=hyperlink(""/Users/admin/Desktop/EMORY/Academics/Spring_2021/SOC497R/NLP2/sampleData/test/The Three Little Pigs.txt"")",dinner,get,,,,"Smith 's Home - field , and if you will be ready to - morrow morning I will call for you , and we will go together , and get some for dinner . "" "" "
Senna,1,25,"=hyperlink(""/Users/admin/Desktop/EMORY/Academics/Spring_2021/SOC497R/NLP2/sampleData/test/The Three Little Pigs.txt"")",,said,pig,,,"Very well , "" said the little pig , "" I will be ready . "
Senna,1,26,"=hyperlink(""/Users/admin/Desktop/EMORY/Academics/Spring_2021/SOC497R/NLP2/sampleData/test/The Three Little Pigs.txt"")",you,mean,,,,"What time do you mean to go ? "" "" "
Senna,1,26,"=hyperlink(""/Users/admin/Desktop/EMORY/Academics/Spring_2021/SOC497R/NLP2/sampleData/test/The Three Little Pigs.txt"")",you,go,,,,"What time do you mean to go ? "" "" "
Senna,1,28,"=hyperlink(""/Users/admin/Desktop/EMORY/Academics/Spring_2021/SOC497R/NLP2/sampleData/test/The Three Little Pigs.txt"")",pig,got up,,,,"Well , the little pig got up at five , and got the turnips before the wolf came ( which he did about six O -RRB- and who said : "" Little Pig , are you ready ? "" "
Senna,1,28,"=hyperlink(""/Users/admin/Desktop/EMORY/Academics/Spring_2021/SOC497R/NLP2/sampleData/test/The Three Little Pigs.txt"")",Well,got,turnips,,before the wolf came ( which he did about six,"Well , the little pig got up at five , and got the turnips before the wolf came ( which he did about six O -RRB- and who said : "" Little Pig , are you ready ? "" "
Senna,1,28,"=hyperlink(""/Users/admin/Desktop/EMORY/Academics/Spring_2021/SOC497R/NLP2/sampleData/test/The Three Little Pigs.txt"")",wolf,came,,,,"Well , the little pig got up at five , and got the turnips before the wolf came ( which he did about six O -RRB- and who said : "" Little Pig , are you ready ? "" "
Senna,1,28,"=hyperlink(""/Users/admin/Desktop/EMORY/Academics/Spring_2021/SOC497R/NLP2/sampleData/test/The Three Little Pigs.txt"")",he,did,,,,"Well , the little pig got up at five , and got the turnips before the wolf came ( which he did about six O -RRB- and who said : "" Little Pig , are you ready ? "" "
Senna,1,28,"=hyperlink(""/Users/admin/Desktop/EMORY/Academics/Spring_2021/SOC497R/NLP2/sampleData/test/The Three Little Pigs.txt"")",who,said,,,,"Well , the little pig got up at five , and got the turnips before the wolf came ( which he did about six O -RRB- and who said : "" Little Pig , are you ready ? "" "
Open IE,1,29,"=hyperlink(""/Users/admin/Desktop/EMORY/Academics/Spring_2021/SOC497R/NLP2/sampleData/test/The Three Little Pigs.txt"")",I,got,potful,,,"I have been and come back again, and got a nice potful for dinner."""
Open IE,1,29,"=hyperlink(""/Users/admin/Desktop/EMORY/Academics/Spring_2021/SOC497R/NLP2/sampleData/test/The Three Little Pigs.txt"")",I,got,potful dinner,,,"I have been and come back again, and got a nice potful for dinner."""
Senna,1,29,"=hyperlink(""/Users/admin/Desktop/EMORY/Academics/Spring_2021/SOC497R/NLP2/sampleData/test/The Three Little Pigs.txt"")",pig,said,,,,"The little pig said : "" Ready ! "
Senna,1,30,"=hyperlink(""/Users/admin/Desktop/EMORY/Academics/Spring_2021/SOC497R/NLP2/sampleData/test/The Three Little Pigs.txt"")",I,come back,,,again,"I have been and come back again , and got a nice potful for dinner . "" "
Senna,1,30,"=hyperlink(""/Users/admin/Desktop/EMORY/Academics/Spring_2021/SOC497R/NLP2/sampleData/test/The Three Little Pigs.txt"")",I,got,potful,,,"I have been and come back again , and got a nice potful for dinner . "" "
Senna,1,31,"=hyperlink(""/Users/admin/Desktop/EMORY/Academics/Spring_2021/SOC497R/NLP2/sampleData/test/The Three Little Pigs.txt"")",wolf,felt,,,,"The wolf felt very angry at this , but thought that he would be up to the little pig somehow or other , so he said : "" Little pig , I know where there is a nice apple - tree . "" "" "
Senna,1,31,"=hyperlink(""/Users/admin/Desktop/EMORY/Academics/Spring_2021/SOC497R/NLP2/sampleData/test/The Three Little Pigs.txt"")",wolf,thought,he,,,"The wolf felt very angry at this , but thought that he would be up to the little pig somehow or other , so he said : "" Little pig , I know where there is a nice apple - tree . "" "" "
Senna,1,31,"=hyperlink(""/Users/admin/Desktop/EMORY/Academics/Spring_2021/SOC497R/NLP2/sampleData/test/The Three Little Pigs.txt"")",he,said,,,,"The wolf felt very angry at this , but thought that he would be up to the little pig somehow or other , so he said : "" Little pig , I know where there is a nice apple - tree . "" "" "
Senna,1,31,"=hyperlink(""/Users/admin/Desktop/EMORY/Academics/Spring_2021/SOC497R/NLP2/sampleData/test/The Three Little Pigs.txt"")",I,know,apple,,,"The wolf felt very angry at this , but thought that he would be up to the little pig somehow or other , so he said : "" Little pig , I know where there is a nice apple - tree . "" "" "
Senna,1,33,"=hyperlink(""/Users/admin/Desktop/EMORY/Academics/Spring_2021/SOC497R/NLP2/sampleData/test/The Three Little Pigs.txt"")",pig,said,,,,"said the pig . "" "
Open IE,1,34,"=hyperlink(""/Users/admin/Desktop/EMORY/Academics/Spring_2021/SOC497R/NLP2/sampleData/test/The Three Little Pigs.txt"")",pig,went,apples,,the next morning at four o'clock ,"Well, the little pig bustled up the next morning at four o'clock, and went off for the apples, hoping to get back before the wolf came; but he had further to go, and had to climb the tree, so that just as he was coming down from it, he saw the wolf coming, which, as you may suppose, frightened him very much."
Senna,1,34,"=hyperlink(""/Users/admin/Desktop/EMORY/Academics/Spring_2021/SOC497R/NLP2/sampleData/test/The Three Little Pigs.txt"")",wolf,replied,,,,"Down at Merry - garden , "" replied the wolf , "" and if you will not deceive me I will come for you , at five o'clock tomorrow and get some apples . "" "
Senna,1,34,"=hyperlink(""/Users/admin/Desktop/EMORY/Academics/Spring_2021/SOC497R/NLP2/sampleData/test/The Three Little Pigs.txt"")",you,deceive,me,,,"Down at Merry - garden , "" replied the wolf , "" and if you will not deceive me I will come for you , at five o'clock tomorrow and get some apples . "" "
Senna,1,34,"=hyperlink(""/Users/admin/Desktop/EMORY/Academics/Spring_2021/SOC497R/NLP2/sampleData/test/The Three Little Pigs.txt"")",I,come,,,,"Down at Merry - garden , "" replied the wolf , "" and if you will not deceive me I will come for you , at five o'clock tomorrow and get some apples . "" "
Senna,1,34,"=hyperlink(""/Users/admin/Desktop/EMORY/Academics/Spring_2021/SOC497R/NLP2/sampleData/test/The Three Little Pigs.txt"")",apples,get,,,,"Down at Merry - garden , "" replied the wolf , "" and if you will not deceive me I will come for you , at five o'clock tomorrow and get some apples . "" "
